axis,axis_value,dependency_span,family_id,model_type,nuisance_count,predictive_order,raw_length,target_margin,top1_correct
length,8,1,"length:(3, 1):72",transformer,0,2,8,13.080442428588867,1
length,8,1,"length:(2, 2):73",transformer,0,2,8,14.604180335998535,1
length,8,1,"length:(1, 3):74",transformer,0,2,8,12.939628601074219,1
length,8,1,"length:(1, 0):75",transformer,0,2,8,6.617269515991211,1
length,8,1,"length:(0, 0):76",transformer,0,2,8,16.58287811279297,1
length,8,1,"length:(2, 1):77",transformer,0,2,8,10.062078475952148,1
length,8,1,"length:(3, 1):78",transformer,0,2,8,13.080442428588867,1
length,8,1,"length:(2, 0):79",transformer,0,2,8,8.478178024291992,1
length,8,1,"length:(0, 3):80",transformer,0,2,8,7.829458236694336,1
length,8,1,"length:(2, 2):81",transformer,0,2,8,14.604180335998535,1
length,8,1,"length:(0, 3):82",transformer,0,2,8,7.829458236694336,1
length,8,1,"length:(3, 3):83",transformer,0,2,8,4.172857284545898,1
length,8,1,"length:(2, 3):84",transformer,0,2,8,4.823009490966797,1
length,8,1,"length:(2, 1):85",transformer,0,2,8,10.062078475952148,1
length,8,1,"length:(3, 3):86",transformer,0,2,8,4.172857284545898,1
length,8,1,"length:(3, 0):87",transformer,0,2,8,13.107444763183594,1
length,8,1,"length:(3, 2):88",transformer,0,2,8,11.176802635192871,1
length,8,1,"length:(0, 2):89",transformer,0,2,8,5.155251502990723,1
length,8,1,"length:(3, 3):90",transformer,0,2,8,4.172857284545898,1
length,8,1,"length:(0, 2):91",transformer,0,2,8,5.155251502990723,1
length,8,1,"length:(0, 1):92",transformer,0,2,8,8.695783615112305,1
length,8,1,"length:(3, 0):93",transformer,0,2,8,13.107444763183594,1
length,8,1,"length:(0, 1):94",transformer,0,2,8,8.695783615112305,1
length,8,1,"length:(1, 2):95",transformer,0,2,8,12.003175735473633,1
length,8,1,"length:(0, 0):96",transformer,0,2,8,16.58287811279297,1
length,8,1,"length:(1, 2):97",transformer,0,2,8,12.003175735473633,1
length,8,1,"length:(1, 0):98",transformer,0,2,8,6.617269515991211,1
length,8,1,"length:(2, 1):99",transformer,0,2,8,10.062078475952148,1
length,8,1,"length:(3, 2):100",transformer,0,2,8,11.176802635192871,1
length,8,1,"length:(0, 0):101",transformer,0,2,8,16.58287811279297,1
length,8,1,"length:(3, 3):102",transformer,0,2,8,4.172857284545898,1
length,8,1,"length:(2, 1):103",transformer,0,2,8,10.062078475952148,1
length,8,1,"length:(2, 1):104",transformer,0,2,8,10.062078475952148,1
length,8,1,"length:(0, 1):105",transformer,0,2,8,8.695783615112305,1
length,8,1,"length:(3, 1):106",transformer,0,2,8,13.080442428588867,1
length,8,1,"length:(3, 0):107",transformer,0,2,8,13.107444763183594,1
length,8,1,"length:(0, 3):108",transformer,0,2,8,7.829458236694336,1
length,8,1,"length:(3, 3):109",transformer,0,2,8,4.172857284545898,1
length,8,1,"length:(0, 2):110",transformer,0,2,8,5.155251502990723,1
length,8,1,"length:(2, 0):111",transformer,0,2,8,8.478178024291992,1
length,8,1,"length:(0, 3):112",transformer,0,2,8,7.829458236694336,1
length,8,1,"length:(0, 2):113",transformer,0,2,8,5.155251502990723,1
length,8,1,"length:(0, 2):114",transformer,0,2,8,5.155251502990723,1
