abstraction_level,angular_concentration,between_cosine_distance,common_energy_fraction,component,effective_rank,family,layer,model_setting,n,natural,parent_id,seed,within_cosine_distance
root,0.9557107613912105,0.7949126822363384,0.8848704325086735,ff,1.0641248151590457,noun,1,tiny-w48-l3-h3,6,True,natural:noun:bird,11,0.1002113847681971
root,0.8361939574630015,0.9214632997219698,0.6973438228056668,ff,1.0956752604452737,noun,1,tiny-w48-l3-h3,6,True,natural:noun:mammal,11,0.3563545934467335
parent,0.9536913243849119,0.7493190274673892,0.8807252229033244,ff,1.048526469573917,relation,1,tiny-w48-l3-h3,6,False,synthetic:relation:p0,11,0.10449994877264229
parent,0.9806014015671427,0.7508593643280782,0.9583363020905452,ff,1.3433382477616478,relation,1,tiny-w48-l3-h3,6,False,synthetic:relation:p1,11,0.045988949145416944
root,0.9036928613871648,0.794030337652327,0.7890690812251675,ff,1.0375419913304302,relation,1,tiny-w48-l3-h3,6,False,synthetic:relation:p0,11,0.20778373522817464
root,0.9756097345533004,0.8408018045524047,0.9513111066929447,ff,1.396014085901517,relation,1,tiny-w48-l3-h3,6,False,synthetic:relation:p1,11,0.05781855557392634
parent,0.9649157597398608,0.7745978488380436,0.925535942543096,ff,1.2105677482649932,relation,1,tiny-w48-l3-h3,6,True,natural:relation:social,11,0.08230009471947393
parent,0.9818082477670339,0.7387543725598078,0.9639045948665961,ff,1.3590172208219908,relation,1,tiny-w48-l3-h3,6,True,natural:relation:spatial,11,0.0432619208292878
root,0.9521244737730689,0.8345373205187336,0.9025457577752374,ff,1.3456774102392113,relation,1,tiny-w48-l3-h3,6,True,natural:relation:social,11,0.1116883078871613
root,0.977895101235069,0.7931941466924355,0.954896685618647,ff,1.3233389301103375,relation,1,tiny-w48-l3-h3,6,True,natural:relation:spatial,11,0.05243815538722275
parent,0.9934411330906533,0.7590185081645797,0.9836462542698885,sa,2.062802437242314,action,1,tiny-w48-l3-h3,6,False,synthetic:action:p0,11,0.015665079305592355
parent,0.9928490711636687,0.7492888620632525,0.9844935704324513,sa,2.3465607181491923,action,1,tiny-w48-l3-h3,6,False,synthetic:action:p1,11,0.017092132294065202
root,0.9650134510886311,0.737065144195869,0.9160707903268224,sa,2.3939972748566447,action,1,tiny-w48-l3-h3,6,False,synthetic:action:p0,11,0.08194079006072143
root,0.8979981098408846,0.7519080033016614,0.79927445798728,sa,1.4204918345006454,action,1,tiny-w48-l3-h3,6,False,synthetic:action:p1,11,0.23013934244574175
parent,0.9916075822609995,0.7546009811370035,0.9789214460229005,sa,1.7594140216585856,action,1,tiny-w48-l3-h3,6,True,natural:action:communication,11,0.020004296508852635
parent,0.9899337467950375,0.75073779603507,0.9791903265678716,sa,1.59419625358828,action,1,tiny-w48-l3-h3,6,True,natural:action:movement,11,0.02402854339830846
root,0.9723304798966076,0.7296794570521864,0.9239884126815894,sa,2.1888132962750873,action,1,tiny-w48-l3-h3,6,True,natural:action:communication,11,0.06473958040103474
root,0.9826981927012941,0.725021919902285,0.9618651212919196,sa,2.5119169901536567,action,1,tiny-w48-l3-h3,6,True,natural:action:movement,11,0.04111781641368401
parent,0.9953616958663417,0.7493207713529624,0.990210621953902,sa,2.169962906001726,noun,1,tiny-w48-l3-h3,6,False,synthetic:noun:p0,11,0.011104002747597989
parent,0.9958002748804909,0.7507611471832661,0.9912448271048399,sa,2.074457499813133,noun,1,tiny-w48-l3-h3,6,False,synthetic:noun:p1,11,0.010057173009829697
root,0.982827557337491,0.7323301368104228,0.9644199298243993,sa,2.0399210630509965,noun,1,tiny-w48-l3-h3,6,False,synthetic:noun:p0,11,0.040844891450661044
