abstraction_level,between_parent_dispersion,cross_template_cosine,effective_rank,family,hierarchy_rsa_spearman,layer,location,model_setting,n_items,natural,normalized_separation,permuted_neighbor_recovery,seed,tree_neighbor_recovery,within_parent_dispersion
root,0.6537514167520682,0.8943022704297,2.5315020254215224,noun,0.0,1,pre_sa,tiny-w32-l2-h2,4,False,0.23034521287498602,0.25,11,0.25,0.5031629074929893
parent,0.41888670557148144,0.8332026003832294,2.8053330644598784,noun,0.0,1,pre_sa,tiny-w32-l2-h2,4,True,0.07300317506679647,0.25,11,0.5,0.38830664607149296
root,0.39945091928778564,0.8978520287597737,2.759326577577342,noun,0.20701966780270628,1,pre_sa,tiny-w32-l2-h2,4,True,0.142431280616106,0.25,11,0.5,0.34255661331034554
parent,0.4628379984373533,0.8864587856347002,2.411079757581115,relation,-0.20701966780270628,1,pre_sa,tiny-w32-l2-h2,4,False,-0.2304988686139971,0.25,11,0.0,0.5695216334287302
root,0.37730462042732826,0.9353487473236773,2.4109368574645895,relation,-0.41403933560541256,1,pre_sa,tiny-w32-l2-h2,4,False,-0.20157772824367107,0.5,11,0.0,0.4533608286689097
parent,0.5020282564417051,0.8531972850971665,2.6366859748144775,relation,-0.41403933560541256,1,pre_sa,tiny-w32-l2-h2,4,True,-0.1509733943748785,0.75,11,0.0,0.5778211663888113
root,0.492349495733309,0.8995340345036529,2.6146027583321856,relation,-0.41403933560541256,1,pre_sa,tiny-w32-l2-h2,4,True,-0.20582575402800107,1.0,11,0.0,0.5936877019379234
parent,0.3037576440493509,0.9970988771357095,2.718250685494081,action,-0.6210590034081188,0,post_block,tiny-w32-l2-h2,4,False,-0.3112921730789164,0.5,23,0.0,0.3983150211548053
root,0.29331653255697354,0.9828792882300964,2.5402229777241354,action,-0.6210590034081188,0,post_block,tiny-w32-l2-h2,4,False,-0.35123577642235265,0.75,23,0.0,0.3963397926071344
parent,0.31356728251730154,0.942530127975369,2.706006356465581,action,0.6210590034081188,0,post_block,tiny-w32-l2-h2,4,True,0.22289845957563323,0.0,23,0.75,0.24367361827087763
root,0.38773319388634775,0.9491924885758684,2.387148927445481,action,0.41403933560541256,0,post_block,tiny-w32-l2-h2,4,True,0.20907121251313976,0.0,23,0.75,0.3066693449089367
parent,0.22986819451857027,0.9987653823531611,2.6866710942930956,noun,0.41403933560541256,0,post_block,tiny-w32-l2-h2,4,False,0.10571791397394643,0.0,23,0.5,0.20556700850510967
root,0.2863405586852775,0.9715916702868136,2.73050106313,noun,0.20701966780270628,0,post_block,tiny-w32-l2-h2,4,False,0.11217577509877867,0.0,23,0.25,0.2542200845725392
