component,family,layer,mean_update_cosine,model_setting,natural,parent_id,seed,shared_update_explained_variance,shared_update_rank
ff,noun,1,0.5857938774342984,tiny-w32-l2-h2,True,natural:noun:bird,23,0.3500556989546829,2.1228403956529096
ff,noun,1,0.6006298762068063,tiny-w32-l2-h2,True,natural:noun:mammal,23,0.41450100566032033,2.1490293002927
ff,relation,1,0.8431983626572764,tiny-w32-l2-h2,False,synthetic:relation:p0,23,0.693184464444652,2.2345911615165113
ff,relation,1,0.7936202480864205,tiny-w32-l2-h2,False,synthetic:relation:p1,23,0.5790081826850912,1.7377694106205357
ff,relation,1,0.7924013435591847,tiny-w32-l2-h2,True,natural:relation:social,23,0.6160161060541991,2.1015838654970533
ff,relation,1,0.6780887054789194,tiny-w32-l2-h2,True,natural:relation:spatial,23,0.4893741185813292,1.8488263137455943
sa,action,1,0.727658440562207,tiny-w32-l2-h2,False,synthetic:action:p0,23,0.5003971702021124,2.8978942652263173
sa,action,1,0.7591178270504625,tiny-w32-l2-h2,False,synthetic:action:p1,23,0.5414993701240829,2.4440896160791503
sa,action,1,0.7633134538011777,tiny-w32-l2-h2,True,natural:action:communication,23,0.5538424529509073,2.1634342851324795
sa,action,1,0.794741002563661,tiny-w32-l2-h2,True,natural:action:movement,23,0.6300906110187485,3.4833186280472956
sa,noun,1,0.8023155815243785,tiny-w32-l2-h2,False,synthetic:noun:p0,23,0.6100867232587284,2.570386013364619
sa,noun,1,0.78028716079235,tiny-w32-l2-h2,False,synthetic:noun:p1,23,0.5863050153577379,1.7762515115898885
sa,noun,1,0.8204439017904198,tiny-w32-l2-h2,True,natural:noun:bird,23,0.6587647254279094,3.0053187347029064
sa,noun,1,0.7999195847602235,tiny-w32-l2-h2,True,natural:noun:mammal,23,0.6110958835513596,3.051778915140448
sa,relation,1,0.7869779895485025,tiny-w32-l2-h2,False,synthetic:relation:p0,23,0.5856659137689889,2.2660152335111037
sa,relation,1,0.7736192129553032,tiny-w32-l2-h2,False,synthetic:relation:p1,23,0.5815932973402089,2.453183752206142
sa,relation,1,0.7840339119824312,tiny-w32-l2-h2,True,natural:relation:social,23,0.5905815655815699,2.814935524562964
sa,relation,1,0.7516271026088673,tiny-w32-l2-h2,True,natural:relation:spatial,23,0.5942197225375692,2.336253584559557
ff,action,0,0.8523428618694333,tiny-w48-l3-h3,False,synthetic:action:p0,11,0.7284247285780827,2.021834996569387
ff,action,0,0.8132146762488722,tiny-w48-l3-h3,False,synthetic:action:p1,11,0.6597919845681197,1.7290521396805034
ff,action,0,0.9066154758281275,tiny-w48-l3-h3,True,natural:action:communication,11,0.8068796611820562,2.0513441174103493
ff,action,0,0.8730301580336648,tiny-w48-l3-h3,True,natural:action:movement,11,0.7539025997304717,1.8518036400216102
ff,noun,0,0.9106158031918543,tiny-w48-l3-h3,False,synthetic:noun:p0,11,0.8247103685374797,1.7756757756727324
