abstraction_level,between_parent_dispersion_ci_high,between_parent_dispersion_ci_low,cross_template_cosine_ci_high,cross_template_cosine_ci_low,effective_rank_ci_high,effective_rank_ci_low,family,hierarchy_rsa_spearman_ci_high,hierarchy_rsa_spearman_ci_low,layer,location,mean_between_parent_dispersion,mean_cross_template_cosine,mean_effective_rank,mean_hierarchy_rsa_spearman,mean_normalized_separation,mean_permuted_neighbor_recovery,mean_tree_neighbor_recovery,mean_within_parent_dispersion,n_runs,natural,normalized_separation_ci_high,normalized_separation_ci_low,permuted_neighbor_recovery_ci_high,permuted_neighbor_recovery_ci_low,tree_neighbor_recovery_ci_high,tree_neighbor_recovery_ci_low,within_parent_dispersion_ci_high,within_parent_dispersion_ci_low
parent,0.48418263562568464,0.42830612068120394,0.9918000296762033,0.8876333234749982,2.692567675201659,2.175061366289071,relation,0.6210590034081188,-0.3105295017040594,0,post_block,0.45588787915548107,0.9560908131119319,2.494971326647987,0.05175491695067657,0.10426050030888982,0.0625,0.375,0.4125740305020126,4,True,0.4109568819793459,-0.1261421422396486,0.1875,0.0,0.875,0.0,0.5281124406928409,0.25915692507849886
root,0.4895106585643434,0.4593127616811057,0.9891752844256029,0.9214558204710965,2.6139228061139637,2.1063062683180345,relation,0.362284418654736,-0.41403933560541256,0,post_block,0.4770992375208546,0.9662016561722163,2.4288534311382453,-0.05175491695067657,0.062355382643073144,0.0,0.3125,0.4490889913822581,4,True,0.3827166260687886,-0.19090906452992684,0.0,0.0,0.6875,0.0,0.5808270020157544,0.2909937522008428
parent,0.42008663918938527,0.33098564791771146,0.9952266174256139,0.9605040567217318,2.8738147300734194,2.543927233181974,action,0.3105295017040594,-0.6210590034081188,0,post_sa,0.3870235496919241,0.9815274694798909,2.6926978099010395,-0.10350983390135314,-0.05653288168712531,0.1875,0.3125,0.4001590801495243,4,False,0.13160505380940615,-0.27837389260380696,0.25,0.0625,0.625,0.0625,0.43110993202366,0.3585895773244586
root,0.48747277721750676,0.3504753971032399,0.9939333194918059,0.9608132000267461,2.787405782837692,2.456779961297996,action,0.41403933560541256,-0.4140393356054125,0,post_sa,0.42814370092718085,0.9812169748461623,2.648355028104411,0.10350983390135315,0.03299907977336376,0.125,0.4375,0.4038091128611341,4,False,0.19865287650245733,-0.19701419215433563,0.375,0.0,0.6875,0.125,0.44033461756347025,0.35188956092488416
parent,0.4675817732137132,0.3995098339803759,0.9917762179568255,0.9487390565548302,2.8263946905212367,2.6411327823047523,action,0.6210590034081188,-0.724568837309472,0,post_sa,0.4382794248790335,0.969132297931239,2.7370165324458062,0.0,0.02754367884824238,0.3125,0.4375,0.42709597437887103,4,True,0.23551517386119722,-0.21227746457683466,0.75,0.0,0.875,0.0,0.5281512473373531,0.33026582992100234
root,0.5186895467961182,0.3975493931885028,0.9877655541308518,0.955025898987506,2.7941564721726877,2.586032550692116,action,0.3105295017040594,-0.41403933560541256,0,post_sa,0.45811946999231057,0.970658819573732,2.710393732292824,-0.05175491695067657,0.018282775288038653,0.3125,0.3125,0.4425659825090214,4,True,0.16743872515068245,-0.13983991502463977,0.625,0.0625,0.625,0.0,0.4908559361758511,0.3748923856722816
parent,0.5696904871017819,0.33988245592202126,0.996615482852001,0.9423865337401279,2.744478631079659,2.497860070009867,noun,0.41403933560541256,-0.10350983390135314,0,post_sa,0.4569143313452606,0.9752299676026094,2.62009532148024,0.1552647508520297,0.09958859546815171,0.375,0.375,0.41146079523005175,4,False,0.2432550057703033,-0.04407781483399985,0.75,0.0625,0.625,0.125,0.5366649040787326,0.26752200529967063
root,0.5609221791912973,0.3441323800061774,0.9853420727119058,0.9447121470851526,2.693286685718487,2.5576131216549047,noun,0.362284418654736,-0.20701966780270628,0,post_sa,0.4720108932573951,0.9702252789954318,2.613512115202433,0.05175491695067656,0.06697687806597738,0.375,0.3125,0.43868084069162794,4,False,0.20346495449499985,-0.045740334556327755,0.625,0.0625,0.5,0.125,0.5332791567267204,0.29953801590217566
parent,0.5305014524059122,0.38490521180423265,0.9946797800508039,0.9170047020499843,2.8214054494189615,2.397207164504305,noun,0.41403933560541256,0.0,0,post_sa,0.4552360038897788,0.9639062924933735,2.663172679860172,0.20701966780270628,0.1153081181567667,0.25,0.5,0.4008890600876067,4,True,0.1539199164728582,0.0608316919763756,0.4375,0.0625,0.6875,0.3125,0.45130999666607874,0.35071955930434073
root,0.6656107870756056,0.4154304685029122,0.9942112781089756,0.944038059613174,2.734871369186221,2.2854700787800692,noun,0.41403933560541256,-0.10350983390135314,0,post_sa,0.5265346808111241,0.9711725015860277,2.578934683187364,0.1552647508520297,0.12067342388539475,0.3125,0.4375,0.4628229434770914,4,True,0.18029682497313265,0.053055201311727786,0.5,0.125,0.6875,0.125,0.5691276677875696,0.35765702917357894
parent,0.567402320166558,0.40697581400639393,0.9936022251515566,0.9374120577194324,2.8291700836031954,2.496803792189669,relation,0.36228441865473593,-0.3105295017040594,0,post_sa,0.48411567360508634,0.9706464798955627,2.6911574658745887,0.05175491695067656,0.008057467798375725,0.625,0.3125,0.47252430032034043,4,False,0.11509458753344631,-0.14634454492560453,0.75,0.375,0.5625,0.0625,0.5356607645000981,0.42340409292632464
