abstraction_level,between_parent_dispersion,cross_template_cosine,effective_rank,family,hierarchy_rsa_spearman,layer,location,model_setting,n_items,natural,normalized_separation,permuted_neighbor_recovery,seed,step,tree_neighbor_recovery,within_parent_dispersion
root,0.46407404428842447,0.9861036475908667,1.8981320231048042,relation,-0.6210590034081188,0,post_sa,tiny-w32-l2-h2,4,True,-0.5244186478540444,0.0,11,40,0.0,0.7074431270983179
parent,0.47490272903403113,0.9999999999999999,2.7204891531421334,action,0.8280786712108251,0,pre_sa,tiny-w32-l2-h2,4,False,0.19120333774553047,1.0,11,40,1.0,0.38409974213826314
root,0.47490272903403113,0.9999999999999999,2.7204891531421334,action,0.8280786712108251,0,pre_sa,tiny-w32-l2-h2,4,False,0.19120333774553047,1.0,11,40,1.0,0.38409974213826314
parent,0.48841574306857105,1.0,2.5849618452476943,action,-0.8280786712108251,0,pre_sa,tiny-w32-l2-h2,4,True,-0.29621306908468986,0.0,11,40,0.0,0.6330908693121918
root,0.48841574306857105,1.0,2.5849618452476943,action,-0.8280786712108251,0,pre_sa,tiny-w32-l2-h2,4,True,-0.29621306908468986,0.0,11,40,0.0,0.6330908693121918
parent,0.5940247511215925,1.0,2.432663140571701,noun,0.41403933560541256,0,pre_sa,tiny-w32-l2-h2,4,False,0.21471224168432337,0.75,11,40,0.75,0.46648036519230307
root,0.5940247511215925,1.0,2.432663140571701,noun,0.41403933560541256,0,pre_sa,tiny-w32-l2-h2,4,False,0.21471224168432337,0.75,11,40,0.75,0.46648036519230307
parent,0.45700702832231754,1.0,2.8418819912193585,noun,0.8280786712108251,0,pre_sa,tiny-w32-l2-h2,4,True,0.12766068644976286,1.0,11,40,1.0,0.39866519737432426
root,0.45700702832231754,1.0,2.8418819912193585,noun,0.8280786712108251,0,pre_sa,tiny-w32-l2-h2,4,True,0.12766068644976286,1.0,11,40,1.0,0.39866519737432426
parent,0.4654609264356724,1.0,2.475699908954261,relation,-0.41403933560541256,0,pre_sa,tiny-w32-l2-h2,4,False,-0.2808329172352304,0.0,11,40,0.0,0.5961776762656152
root,0.4654609264356724,1.0,2.475699908954261,relation,-0.41403933560541256,0,pre_sa,tiny-w32-l2-h2,4,False,-0.2808329172352304,0.0,11,40,0.0,0.5961776762656152
parent,0.4387640551105627,1.0,2.3668201634141806,relation,-0.8280786712108251,0,pre_sa,tiny-w32-l2-h2,4,True,-0.38205978333032176,0.0,11,40,0.0,0.6063981549392377
root,0.4387640551105627,1.0,2.3668201634141806,relation,-0.8280786712108251,0,pre_sa,tiny-w32-l2-h2,4,True,-0.38205978333032176,0.0,11,40,0.0,0.6063981549392377
parent,0.14916023292930006,0.9950075717567587,2.24067679956125,action,0.20701966780270628,1,post_block,tiny-w32-l2-h2,4,False,0.15689085215520712,0.5,11,40,0.5,0.12575835687735298
root,0.1470760167839539,0.9953982148300824,2.3203113519885488,action,0.20701966780270628,1,post_block,tiny-w32-l2-h2,4,False,0.16141327251591286,0.25,11,40,0.5,0.12333599560625058
parent,0.154107653260182,0.9933185143089617,2.7144413038052995,action,0.0,1,post_block,tiny-w32-l2-h2,4,True,-0.326333547253536,0.5,11,40,0.5,0.20439815040749515
root,0.1543435411817742,0.9928235285130916,2.571225103630335,action,0.0,1,post_block,tiny-w32-l2-h2,4,True,-0.322080858773676,0.5,11,40,0.5,0.20405464147177027
parent,0.14899181854808735,0.9958510526717667,2.3896825622012705,noun,0.0,1,post_block,tiny-w32-l2-h2,4,False,-0.09073983640579307,0.5,11,40,0.25,0.1625113117889424
root,0.15856675414521376,0.9968462652163358,2.43384862877561,noun,0.0,1,post_block,tiny-w32-l2-h2,4,False,-0.05917947146276847,0.5,11,40,0.25,0.16795065084709426
