component,correct_signed_progress,correct_target,example_id,habitual_signed_progress,habitual_target,layer,model_setting,repair_geometry_candidate,run_id,seed,update_cosine_previous
ff,6.24604606628418,13,override-22,12.623748779296875,3,0,tiny-w32-l2-h2,aligned_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.25142699177472705
sa,1.1390879154205322,13,override-22,-2.4058003425598145,3,1,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,-0.03698289534942225
ff,0.15923576056957245,13,override-22,-2.03800630569458,3,1,tiny-w32-l2-h2,aligned_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.35176318055473554
sa,9.620245933532715,13,override-23,-7.8868021965026855,3,0,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.0
ff,5.753350734710693,13,override-23,10.3998384475708,3,0,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.15347422041763775
sa,0.4000016748905182,13,override-23,-2.249208450317383,3,1,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.11543027750863798
ff,-0.0020156651735305786,13,override-23,-2.2112319469451904,3,1,tiny-w32-l2-h2,aligned_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.8169887514833741
sa,26.749555587768555,13,override-0,0.9652862548828125,3,0,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed23,23,0.0
ff,0.00048721476923674345,13,override-0,6.460334777832031,3,0,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed23,23,0.23745329632780351
sa,0.0005572951049543917,13,override-0,1.9139404296875,3,1,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed23,23,-0.004676729218542901
ff,-0.0023349402472376823,13,override-0,1.8266839981079102,3,1,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed23,23,-0.1554168373176403
sa,26.749755859375,13,override-1,1.2960186004638672,3,0,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed23,23,0.0
ff,0.00010599481174722314,13,override-1,7.100765228271484,3,0,tiny-w32-l2-h2,aligned_candidate,paper05-tiny-w32-l2-h2-seed23,23,0.25656919037624026
sa,0.0007062839576974511,13,override-1,1.5573463439941406,3,1,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed23,23,-0.03140953609621418
ff,-0.0038709233049303293,13,override-1,1.9135093688964844,3,1,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed23,23,-0.17980396250115993
sa,26.749483108520508,13,override-2,0.7772960662841797,3,0,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed23,23,0.0
ff,0.00047026510583236814,13,override-2,6.080630302429199,3,0,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed23,23,0.24015321469718667
sa,0.0006456796545535326,13,override-2,1.6437702178955078,3,1,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed23,23,-0.05348547798549203
ff,-0.0021162342745810747,13,override-2,1.9614439010620117,3,1,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed23,23,-0.19106806230420215
sa,26.750045776367188,13,override-3,0.8446998596191406,3,0,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed23,23,0.0
ff,-0.0002548919292166829,13,override-3,6.86238956451416,3,0,tiny-w32-l2-h2,aligned_candidate,paper05-tiny-w32-l2-h2-seed23,23,0.262663060969578
sa,0.0007570047164335847,13,override-3,1.629887580871582,3,1,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed23,23,0.003453571471312062
ff,-0.004888851661235094,13,override-3,2.241779327392578,3,1,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed23,23,-0.11141295867930273
sa,26.748287200927734,13,override-4,0.12083053588867188,3,0,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed23,23,0.0
ff,0.0019053930882364511,13,override-4,4.980030059814453,3,0,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed23,23,0.20853416777140274
sa,0.00037798669654875994,13,override-4,2.7474613189697266,3,1,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed23,23,-0.06865361374086369
ff,-0.0007061663782224059,13,override-4,0.9606418609619141,3,1,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed23,23,-0.2383203273246943
sa,26.749055862426758,13,override-5,0.6828079223632812,3,0,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed23,23,0.0
ff,0.0009191468707285821,13,override-5,5.982112884521484,3,0,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed23,23,0.22475622099924922
sa,0.0005869336891919374,13,override-5,2.0887413024902344,3,1,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed23,23,-0.06732431878327187
ff,-0.0012774443021044135,13,override-5,1.3216047286987305,3,1,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed23,23,-0.2350244748400196
sa,26.74986457824707,13,override-6,0.9230995178222656,3,0,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed23,23,0.0
ff,-0.00013088458217680454,13,override-6,6.745892524719238,3,0,tiny-w32-l2-h2,aligned_candidate,paper05-tiny-w32-l2-h2-seed23,23,0.25775821860912107
sa,0.0008807940175756812,13,override-6,1.1348381042480469,3,1,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed23,23,-0.08712232379139062
ff,-0.002464223187416792,13,override-6,2.095150947570801,3,1,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed23,23,-0.2266080882778244
sa,26.75,13,override-7,0.5244007110595703,3,0,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed23,23,0.0
ff,-0.0003615770838223398,13,override-7,6.800413131713867,3,0,tiny-w32-l2-h2,aligned_candidate,paper05-tiny-w32-l2-h2-seed23,23,0.26056045637560316
sa,0.000981421209871769,13,override-7,1.113926887512207,3,1,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed23,23,-0.1477661628014573
ff,-0.001838869764469564,13,override-7,1.961319923400879,3,1,tiny-w32-l2-h2,opposing_candidate,paper05-tiny-w32-l2-h2-seed23,23,-0.28675157609350393
sa,26.749895095825195,13,override-8,0.5451126098632812,3,0,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed23,23,0.0
ff,-3.823224687948823e-05,13,override-8,6.800060272216797,3,0,tiny-w32-l2-h2,aligned_candidate,paper05-tiny-w32-l2-h2-seed23,23,0.25184688547593115
sa,0.000702586374245584,13,override-8,1.552290916442871,3,1,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed23,23,0.03190221817945886
ff,-0.004957462660968304,13,override-8,2.396670341491699,3,1,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed23,23,-0.08722138781748742
sa,26.749980926513672,13,override-9,1.0376338958740234,3,0,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed23,23,0.0
ff,-0.0003146544913761318,13,override-9,6.893641471862793,3,0,tiny-w32-l2-h2,aligned_candidate,paper05-tiny-w32-l2-h2-seed23,23,0.2656088137187904
sa,0.0009603514336049557,13,override-9,1.0382966995239258,3,1,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed23,23,-0.14589086408195368
ff,-0.0019118107156828046,13,override-9,1.9159746170043945,3,1,tiny-w32-l2-h2,opposing_candidate,paper05-tiny-w32-l2-h2-seed23,23,-0.28545587137052386
sa,26.750059127807617,13,override-10,0.8635330200195312,3,0,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed23,23,0.0
ff,-0.0003062242176383734,13,override-10,6.8299455642700195,3,0,tiny-w32-l2-h2,aligned_candidate,paper05-tiny-w32-l2-h2-seed23,23,0.26377325202804525
sa,0.0008775931783020496,13,override-10,1.1008682250976562,3,1,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed23,23,-0.13856159076431893
ff,-0.0019243120914325118,13,override-10,1.9866828918457031,3,1,tiny-w32-l2-h2,opposing_candidate,paper05-tiny-w32-l2-h2-seed23,23,-0.2740440721027922
sa,26.750104904174805,13,override-11,0.8945217132568359,3,0,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed23,23,0.0
ff,-0.00043723318958655,13,override-11,6.889177322387695,3,0,tiny-w32-l2-h2,aligned_candidate,paper05-tiny-w32-l2-h2-seed23,23,0.26735900294845366
sa,0.0009527254151180387,13,override-11,1.0767889022827148,3,1,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed23,23,-0.1675273219499558
ff,-0.0018989526433870196,13,override-11,1.9266424179077148,3,1,tiny-w32-l2-h2,opposing_candidate,paper05-tiny-w32-l2-h2-seed23,23,-0.29801367212847557
sa,26.749982833862305,13,override-12,0.9408416748046875,3,0,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed23,23,0.0
ff,-0.00015543436165899038,13,override-12,6.841529846191406,3,0,tiny-w32-l2-h2,aligned_candidate,paper05-tiny-w32-l2-h2-seed23,23,0.2601616778202481
sa,0.0007207997259683907,13,override-12,1.667978286743164,3,1,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed23,23,0.0425348528711107
