angular_concentration,between_cosine_distance,common_energy_fraction,component,effective_rank,layer,model_setting,n,relation_id,seed,within_cosine_distance
0.9999848351927325,0.7557637416240807,0.9999198045227297,ff,1.295389214428705,1,tiny-w48-l3-h3,8,map-17-18,11,3.466100397361441e-05
0.9997014803612048,0.7565213242270179,0.9964521504980824,ff,1.0427392428370907,1,tiny-w48-l3-h3,8,map-19-20,11,0.0006804932546457017
0.999221512542563,1.2043938367728941,0.9982055428140068,ff,1.184958959742959,1,tiny-w48-l3-h3,24,override-1-2,11,0.0016238107471771206
0.9492029564525789,0.8387258373915949,0.8892494819961362,sa,1.0708860678456222,1,tiny-w48-l3-h3,24,1-2-to-3,11,0.10195879783939142
0.8724792741660606,1.1070793357914452,0.6672139130813355,sa,1.080944477774597,1,tiny-w48-l3-h3,24,4-5-to-many,11,0.24444352133598096
0.9855570919765433,0.7866745837245764,0.8697910638385226,sa,1.0016298127961165,1,tiny-w48-l3-h3,8,map-15-16,11,0.029489025686473845
0.9999454929078079,0.7709740950176726,0.9998177089099614,sa,2.219947969914752,1,tiny-w48-l3-h3,8,map-17-18,11,0.00012458179635768674
0.9970313063863312,0.7787911248596706,0.9862952526106259,sa,1.2827245254177182,1,tiny-w48-l3-h3,8,map-19-20,11,0.006737684521284966
0.9958963226442684,1.225753863710633,0.9748590537126368,sa,1.0816882710359434,1,tiny-w48-l3-h3,24,override-1-2,11,0.008419238268744944
0.9976723914090414,0.7519094874766901,0.9558461064817241,ff,1.0090140384822848,2,tiny-w48-l3-h3,24,1-2-to-3,11,0.004676801081937066
0.9989296286924164,0.7685551295833907,0.9850320736727548,ff,1.0138615670361393,2,tiny-w48-l3-h3,24,4-5-to-many,11,0.0022048604014744165
0.9998065812011904,0.7487738236248879,0.9945528682172188,ff,1.0006734338922698,2,tiny-w48-l3-h3,8,map-15-16,11,0.0004398325084075156
0.9999970943262114,0.7504023128110926,0.9999898829101949,ff,2.2700365838321357,2,tiny-w48-l3-h3,8,map-17-18,11,6.641523347363153e-06
0.9999756214224506,0.7488765189846387,0.9994993694840218,ff,1.0241183186387173,2,tiny-w48-l3-h3,8,map-19-20,11,5.56997761882965e-05
0.9849069142771484,0.8185702679097828,0.9530088918323658,ff,1.0398551949115302,2,tiny-w48-l3-h3,24,override-1-2,11,0.03072403978359848
0.9667589864698215,0.7461703461836567,0.9169646269385374,sa,1.3683825657667754,2,tiny-w48-l3-h3,24,1-2-to-3,11,0.06727211331307244
0.9938894328693744,0.7642622156058392,0.9841254349430393,sa,1.0648931637536874,2,tiny-w48-l3-h3,24,4-5-to-many,11,0.012666038904877441
0.9927051399911888,0.8362278458637912,0.984381827680476,sa,1.0010777330324272,2,tiny-w48-l3-h3,8,map-15-16,11,0.01660146893224679
0.9999499188004256,0.8195650788350411,0.9998920569556066,sa,2.42743328693411,2,tiny-w48-l3-h3,8,map-17-18,11,0.000114468223385396
0.9995898860850323,0.8049025091402757,0.9991041572447071,sa,1.0327778582112395,2,tiny-w48-l3-h3,8,map-19-20,11,0.0009371440702731493
0.9996520946833987,0.793362876202883,0.9964122095525677,sa,1.0477957979282342,2,tiny-w48-l3-h3,24,override-1-2,11,0.0007240567170740437
0.9978709556199217,0.9186995179480448,0.9952821567510908,ff,1.5878318595696008,0,tiny-w48-l3-h3,24,1-2-to-3,23,0.004438221851667629
0.9966263495336922,0.975651479709666,0.992198268314559,ff,1.9114126069377506,0,tiny-w48-l3-h3,24,4-5-to-many,23,0.007026627821748427
0.9941908308118683,0.8610033821901738,0.9768662637213598,ff,1.7514011466104595,0,tiny-w48-l3-h3,8,map-15-16,23,0.013190163051280715
0.9777671743664696,0.9673217985903936,0.9550574680836634,ff,1.1612648200296891,0,tiny-w48-l3-h3,8,map-17-18,23,0.05024514956920307
