accuracy,architecture,branching,distractors,evaluation_axis,heads,layers,mean_margin,model_seed,n,predicate,required_path,total_depth,width
1.0,baseline,2,4,depth_path,4,4,11.61499277750651,37,24,isAncestor,4,24,64
1.0,baseline,2,4,depth_path,4,4,12.862125794092814,37,24,isAncestor,6,24,64
1.0,baseline,2,4,depth_path,4,4,11.89364735285441,37,24,isAncestor,8,24,64
1.0,baseline,2,4,depth_path,4,4,11.956629117329916,37,24,isAncestor,12,24,64
1.0,baseline,2,4,depth_path,4,4,12.950234015782675,37,24,isAncestor,16,24,64
0.9583333333333334,baseline,2,4,depth_path,4,4,12.483154058456421,37,24,isAncestor,1,32,64
0.9583333333333334,baseline,2,4,depth_path,4,4,12.538829723993937,37,24,isAncestor,2,32,64
0.875,baseline,2,4,depth_path,4,4,10.984267950057983,37,24,isAncestor,3,32,64
0.9583333333333334,baseline,2,4,depth_path,4,4,11.876314640045166,37,24,isAncestor,4,32,64
0.9166666666666666,baseline,2,4,depth_path,4,4,11.576094627380371,37,24,isAncestor,6,32,64
0.9583333333333334,baseline,2,4,depth_path,4,4,11.831270297368368,37,24,isAncestor,8,32,64
1.0,baseline,2,4,depth_path,4,4,12.078614870707193,37,24,isAncestor,12,32,64
1.0,baseline,2,4,depth_path,4,4,12.634660879770914,37,24,isAncestor,16,32,64
1.0,baseline,8,4,branching,4,4,12.941158294677734,37,24,isAncestor,3,8,64
1.0,baseline,2,256,distractors,4,4,11.845017671585083,37,24,isAncestor,3,8,64
1.0,depth8,2,4,depth_path,4,8,14.937854210535685,11,24,isAncestor,1,2,64
1.0,depth8,2,4,depth_path,4,8,15.166284004847208,11,24,isAncestor,2,2,64
1.0,depth8,2,4,depth_path,4,8,15.301583131154379,11,24,isAncestor,1,3,64
1.0,depth8,2,4,depth_path,4,8,15.25832223892212,11,24,isAncestor,2,3,64
1.0,depth8,2,4,depth_path,4,8,15.139003912607828,11,24,isAncestor,3,3,64
0.9583333333333334,depth8,2,4,depth_path,4,8,14.26857320467631,11,24,isAncestor,1,4,64
1.0,depth8,2,4,depth_path,4,8,15.587966362635294,11,24,isAncestor,2,4,64
1.0,depth8,2,4,depth_path,4,8,15.518673022588095,11,24,isAncestor,3,4,64
1.0,depth8,2,4,depth_path,4,8,15.7808309396108,11,24,isAncestor,4,4,64
1.0,depth8,1,4,branching,4,8,15.222858428955078,11,24,isAncestor,3,8,64
1.0,depth8,2,4,depth_path,4,8,14.465862909952799,11,24,isAncestor,1,5,64
1.0,depth8,2,4,depth_path,4,8,14.967406749725342,11,24,isAncestor,2,5,64
1.0,depth8,2,4,depth_path,4,8,15.362509568532309,11,24,isAncestor,3,5,64
1.0,depth8,2,4,depth_path,4,8,14.47398074467977,11,24,isAncestor,4,5,64
1.0,depth8,2,4,depth_path,4,8,15.228110551834106,11,24,isAncestor,1,6,64
1.0,depth8,2,4,depth_path,4,8,14.52041776974996,11,24,isAncestor,2,6,64
1.0,depth8,2,4,depth_path,4,8,14.913400411605835,11,24,isAncestor,3,6,64
1.0,depth8,2,4,depth_path,4,8,14.969076236089071,11,24,isAncestor,4,6,64
1.0,depth8,2,4,depth_path,4,8,15.04485281308492,11,24,isAncestor,6,6,64
1.0,depth8,2,0,distractors,4,8,14.87470547358195,11,24,isAncestor,3,8,64
1.0,depth8,2,4,depth_path,4,8,14.458152214686075,11,24,isAncestor,1,8,64
1.0,depth8,2,4,depth_path,4,8,14.581451336542765,11,24,isAncestor,2,8,64
1.0,depth8,2,4,depth_path,4,8,14.805029710133871,11,24,isAncestor,3,8,64
1.0,depth8,2,4,depth_path,4,8,14.913204193115234,11,24,isAncestor,4,8,64
1.0,depth8,2,4,depth_path,4,8,14.539741118748983,11,24,isAncestor,6,8,64
0.9583333333333334,depth8,2,4,depth_path,4,8,13.716052293777466,11,24,isAncestor,8,8,64
1.0,depth8,2,4,branching,4,8,14.960883061091105,11,24,isAncestor,3,8,64
1.0,depth8,2,4,distractors,4,8,15.002257029215494,11,24,isAncestor,3,8,64
1.0,depth8,2,16,distractors,4,8,15.156959056854248,11,24,isAncestor,3,8,64
1.0,depth8,2,4,depth_path,4,8,14.534033616383871,11,24,isAncestor,1,12,64
1.0,depth8,2,4,depth_path,4,8,15.198076009750366,11,24,isAncestor,2,12,64
1.0,depth8,2,4,depth_path,4,8,15.349226077397665,11,24,isAncestor,3,12,64
1.0,depth8,2,4,depth_path,4,8,14.847564697265625,11,24,isAncestor,4,12,64
1.0,depth8,2,4,depth_path,4,8,14.84857988357544,11,24,isAncestor,6,12,64
1.0,depth8,2,4,depth_path,4,8,15.429921627044678,11,24,isAncestor,8,12,64
1.0,depth8,2,4,depth_path,4,8,14.595639864603678,11,24,isAncestor,12,12,64
1.0,depth8,2,4,depth_path,4,8,14.640367110570272,11,24,isAncestor,1,16,64
