extension_length,layer,metric_type,model_seed,n,short_level,similarity
2,2,update,23,64,2,0.8290954406838864
2,3,update,23,64,2,0.8366644601337612
2,4,update,23,64,2,0.8959790109365713
2,5,update,23,64,2,0.7159559893334517
4,0,update,23,64,2,0.9928745944052935
4,1,update,23,64,2,0.6993256541900337
4,2,update,23,64,2,0.8399067011196166
4,3,update,23,64,2,0.7761925761587918
4,4,update,23,64,2,0.8233976716292091
4,5,update,23,64,2,0.7114517746958882
1,0,update,23,64,3,0.9974962892010808
1,1,update,23,64,3,0.7676128657767549
1,2,update,23,64,3,0.8285654773935676
1,3,update,23,64,3,0.7450495701632462
1,4,update,23,64,3,0.8286300002364442
1,5,update,23,64,3,0.7552262456156313
2,0,update,23,64,3,0.9959136005491018
2,1,update,23,64,3,0.7476928871474229
2,2,update,23,64,3,0.829737450229004
2,3,update,23,64,3,0.8270745045738295
2,4,update,23,64,3,0.7828976986929774
2,5,update,23,64,3,0.7685641485149972
4,0,update,23,64,3,0.9918416803702712
4,1,update,23,64,3,0.7752879380714148
4,2,update,23,64,3,0.891791463829577
4,3,update,23,64,3,0.7066439795307815
4,4,update,23,64,3,0.7152904807880986
4,5,update,23,64,3,0.7989075887016952
1,0,update,23,64,4,0.9973719259724021
1,1,update,23,64,4,0.9071598914451897
1,2,update,23,64,4,0.9242335669696331
1,3,update,23,64,4,0.8171481793106068
1,4,update,23,64,4,0.7522885957732797
1,5,update,23,64,4,0.7788188273552805
2,0,update,23,64,4,0.996228564530611
2,1,update,23,64,4,0.8342209348920733
2,2,update,23,64,4,0.9061022901441902
2,3,update,23,64,4,0.8451801952905953
2,4,update,23,64,4,0.756887420458952
2,5,update,23,64,4,0.6917828245204873
4,0,update,23,64,4,0.9915991630405188
4,1,update,23,64,4,0.8032215698622167
4,2,update,23,64,4,0.8756129606626928
4,3,update,23,64,4,0.801184561336413
4,4,update,23,64,4,0.8265023181738798
4,5,update,23,64,4,0.7289400234585628
1,0,update,37,64,2,0.9530653264373541
1,1,update,37,64,2,0.6851884832722135
1,2,update,37,64,2,0.8089656282681972
1,3,update,37,64,2,0.47151828359346837
1,4,update,37,64,2,0.651986430893885
1,5,update,37,64,2,0.8379691056907177
2,0,update,37,64,2,0.9517616201192141
2,1,update,37,64,2,0.73302816474461
