bridge_selected,bridge_strength,budget_chunks,budget_violation,condition,evidence_recall,example_id,hop_count,lexical_overlap,materialized_tokens,path_complete,quality,qwen_equivalent_kv_bytes,seed,selector_time_ns
0.0,0.4,3,0,persistence,0.3333333333333333,bridge-11-0083,3,high,96,0.0,0.16666666666666666,393216,11,24300
0.0,0.4,3,0,agreement,0.3333333333333333,bridge-11-0083,3,high,96,0.0,0.16666666666666666,393216,11,22000
0.0,0.4,3,0,community,0.3333333333333333,bridge-11-0083,3,high,96,0.0,0.16666666666666666,393216,11,21500
1.0,0.4,3,0,bridge_preserving,0.6666666666666666,bridge-11-0083,3,high,96,0.0,0.3333333333333333,393216,11,46800
1.0,0.4,3,0,combined_structural,1.0,bridge-11-0083,3,high,96,1.0,1.0,393216,11,55200
1.0,0.4,3,0,oracle_evidence,1.0,bridge-11-0083,3,high,96,1.0,1.0,393216,11,38700
0.0,0.4,4,0,base_topk,0.3333333333333333,bridge-11-0083,3,high,128,0.0,0.16666666666666666,524288,11,20300
0.0,0.4,4,0,budget_tuned_topk,0.3333333333333333,bridge-11-0083,3,high,128,0.0,0.16666666666666666,524288,11,19300
0.0,0.4,4,0,power_sharpen,0.3333333333333333,bridge-11-0083,3,high,128,0.0,0.16666666666666666,524288,11,50300
0.0,0.4,4,0,entropy_adaptive_sharpen,0.3333333333333333,bridge-11-0083,3,high,128,0.0,0.16666666666666666,524288,11,111500
0.0,0.4,4,0,persistence,0.6666666666666666,bridge-11-0083,3,high,128,0.0,0.3333333333333333,524288,11,24400
0.0,0.4,4,0,agreement,0.3333333333333333,bridge-11-0083,3,high,128,0.0,0.16666666666666666,524288,11,23300
0.0,0.4,4,0,community,0.3333333333333333,bridge-11-0083,3,high,128,0.0,0.16666666666666666,524288,11,22000
1.0,0.4,4,0,bridge_preserving,0.6666666666666666,bridge-11-0083,3,high,128,0.0,0.3333333333333333,524288,11,47100
1.0,0.4,4,0,combined_structural,1.0,bridge-11-0083,3,high,128,1.0,1.0,524288,11,56300
1.0,0.4,4,0,oracle_evidence,1.0,bridge-11-0083,3,high,128,1.0,1.0,524288,11,28800
0.0,0.4,6,0,base_topk,0.3333333333333333,bridge-11-0083,3,high,192,0.0,0.16666666666666666,786432,11,20000
0.0,0.4,6,0,budget_tuned_topk,0.3333333333333333,bridge-11-0083,3,high,192,0.0,0.16666666666666666,786432,11,18800
0.0,0.4,6,0,power_sharpen,0.3333333333333333,bridge-11-0083,3,high,192,0.0,0.16666666666666666,786432,11,53400
0.0,0.4,6,0,entropy_adaptive_sharpen,0.3333333333333333,bridge-11-0083,3,high,192,0.0,0.16666666666666666,786432,11,102900
0.0,0.4,6,0,persistence,0.6666666666666666,bridge-11-0083,3,high,192,0.0,0.3333333333333333,786432,11,29000
0.0,0.4,6,0,agreement,0.3333333333333333,bridge-11-0083,3,high,192,0.0,0.16666666666666666,786432,11,22900
0.0,0.4,6,0,community,0.3333333333333333,bridge-11-0083,3,high,192,0.0,0.16666666666666666,786432,11,21300
1.0,0.4,6,0,bridge_preserving,1.0,bridge-11-0083,3,high,192,1.0,1.0,786432,11,46800
1.0,0.4,6,0,combined_structural,1.0,bridge-11-0083,3,high,192,1.0,1.0,786432,11,54000
1.0,0.4,6,0,oracle_evidence,1.0,bridge-11-0083,3,high,192,1.0,1.0,786432,11,27800
0.0,0.4,8,0,base_topk,0.3333333333333333,bridge-11-0083,3,high,256,0.0,0.16666666666666666,1048576,11,20300
0.0,0.4,8,0,budget_tuned_topk,0.3333333333333333,bridge-11-0083,3,high,256,0.0,0.16666666666666666,1048576,11,19700
0.0,0.4,8,0,power_sharpen,0.3333333333333333,bridge-11-0083,3,high,256,0.0,0.16666666666666666,1048576,11,49700
0.0,0.4,8,0,entropy_adaptive_sharpen,0.3333333333333333,bridge-11-0083,3,high,256,0.0,0.16666666666666666,1048576,11,106800
0.0,0.4,8,0,persistence,0.6666666666666666,bridge-11-0083,3,high,256,0.0,0.3333333333333333,1048576,11,26900
