accuracy,architecture,heads,layers,mean_margin,model_seed,n,position_mode,required_path,split,template_id,tree_seed,width
0.4375,L2_W64_H4,4,2,-0.06336236000061035,11,16,aligned,12,validation,1,211,64
0.5,L2_W64_H4,4,2,-0.00025665760040283203,11,16,aligned,12,validation,1,307,64
0.375,L2_W64_H4,4,2,-0.037860870361328125,11,16,randomized,12,validation,1,101,64
0.3125,L2_W64_H4,4,2,-0.06199312210083008,11,16,randomized,12,validation,1,211,64
0.5625,L2_W64_H4,4,2,0.009863972663879395,11,16,randomized,12,validation,1,307,64
0.5,L2_W64_H4,4,2,-0.04356658458709717,11,16,aligned,12,validation,2,101,64
0.4375,L2_W64_H4,4,2,-0.06438517570495605,11,16,aligned,12,validation,2,211,64
0.5,L2_W64_H4,4,2,0.0025037527084350586,11,16,aligned,12,validation,2,307,64
0.4375,L2_W64_H4,4,2,-0.022722721099853516,11,16,randomized,12,validation,2,101,64
0.375,L2_W64_H4,4,2,-0.015587925910949707,11,16,randomized,12,validation,2,211,64
0.4375,L2_W64_H4,4,2,-0.01334536075592041,11,16,randomized,12,validation,2,307,64
0.5,L2_W64_H4,4,2,-0.05063295364379883,11,16,aligned,12,validation,3,101,64
0.4375,L2_W64_H4,4,2,-0.06649458408355713,11,16,aligned,12,validation,3,211,64
0.5,L2_W64_H4,4,2,0.001643061637878418,11,16,aligned,12,validation,3,307,64
0.4375,L2_W64_H4,4,2,-0.02715468406677246,11,16,randomized,12,validation,3,101,64
0.375,L2_W64_H4,4,2,-0.015049219131469727,11,16,randomized,12,validation,3,211,64
0.4375,L2_W64_H4,4,2,-0.012854456901550293,11,16,randomized,12,validation,3,307,64
0.5625,L2_W64_H4,4,2,0.05136299133300781,11,16,aligned,16,validation,0,101,64
0.5625,L2_W64_H4,4,2,0.05797684192657471,11,16,aligned,16,validation,0,211,64
0.375,L2_W64_H4,4,2,-0.11420869827270508,11,16,aligned,16,validation,0,307,64
0.5625,L2_W64_H4,4,2,0.0061893463134765625,11,16,randomized,16,validation,0,101,64
0.625,L2_W64_H4,4,2,0.03268551826477051,11,16,randomized,16,validation,0,211,64
0.375,L2_W64_H4,4,2,-0.08302748203277588,11,16,randomized,16,validation,0,307,64
0.5625,L2_W64_H4,4,2,0.04541325569152832,11,16,aligned,16,validation,1,101,64
0.5625,L2_W64_H4,4,2,0.0618588924407959,11,16,aligned,16,validation,1,211,64
0.375,L2_W64_H4,4,2,-0.11183488368988037,11,16,aligned,16,validation,1,307,64
0.5625,L2_W64_H4,4,2,0.0062482357025146484,11,16,randomized,16,validation,1,101,64
0.625,L2_W64_H4,4,2,0.036246299743652344,11,16,randomized,16,validation,1,211,64
0.375,L2_W64_H4,4,2,-0.08503448963165283,11,16,randomized,16,validation,1,307,64
0.5625,L2_W64_H4,4,2,0.04467630386352539,11,16,aligned,16,validation,2,101,64
0.5625,L2_W64_H4,4,2,0.0629584789276123,11,16,aligned,16,validation,2,211,64
0.375,L2_W64_H4,4,2,-0.12139725685119629,11,16,aligned,16,validation,2,307,64
0.625,L2_W64_H4,4,2,0.02167201042175293,11,16,randomized,16,validation,2,101,64
0.6875,L2_W64_H4,4,2,0.05026376247406006,11,16,randomized,16,validation,2,211,64
0.25,L2_W64_H4,4,2,-0.08533608913421631,11,16,randomized,16,validation,2,307,64
0.5625,L2_W64_H4,4,2,0.04726099967956543,11,16,aligned,16,validation,3,101,64
0.5625,L2_W64_H4,4,2,0.06169736385345459,11,16,aligned,16,validation,3,211,64
0.375,L2_W64_H4,4,2,-0.12285888195037842,11,16,aligned,16,validation,3,307,64
0.625,L2_W64_H4,4,2,0.0206376314163208,11,16,randomized,16,validation,3,101,64
0.6875,L2_W64_H4,4,2,0.05144071578979492,11,16,randomized,16,validation,3,211,64
0.25,L2_W64_H4,4,2,-0.08819961547851562,11,16,randomized,16,validation,3,307,64
0.625,L2_W64_H4,4,2,0.061070799827575684,11,16,aligned,2,validation,0,101,64
0.4375,L2_W64_H4,4,2,-0.014333844184875488,11,16,aligned,2,validation,0,211,64
0.6875,L2_W64_H4,4,2,0.02196347713470459,11,16,aligned,2,validation,0,307,64
0.6875,L2_W64_H4,4,2,0.025292038917541504,11,16,randomized,2,validation,0,101,64
0.3125,L2_W64_H4,4,2,-0.02376115322113037,11,16,randomized,2,validation,0,211,64
0.5625,L2_W64_H4,4,2,0.018257856369018555,11,16,randomized,2,validation,0,307,64
0.625,L2_W64_H4,4,2,0.06621336936950684,11,16,aligned,2,validation,1,101,64
0.5,L2_W64_H4,4,2,-0.007860660552978516,11,16,aligned,2,validation,1,211,64
0.6875,L2_W64_H4,4,2,0.019995808601379395,11,16,aligned,2,validation,1,307,64
0.5625,L2_W64_H4,4,2,0.025327682495117188,11,16,randomized,2,validation,1,101,64
0.3125,L2_W64_H4,4,2,-0.022471189498901367,11,16,randomized,2,validation,1,211,64
0.5625,L2_W64_H4,4,2,0.019244909286499023,11,16,randomized,2,validation,1,307,64
0.6875,L2_W64_H4,4,2,0.06274569034576416,11,16,aligned,2,validation,2,101,64
0.5,L2_W64_H4,4,2,-0.014494657516479492,11,16,aligned,2,validation,2,211,64
0.6875,L2_W64_H4,4,2,0.02548515796661377,11,16,aligned,2,validation,2,307,64
0.75,L2_W64_H4,4,2,0.03352987766265869,11,16,randomized,2,validation,2,101,64
0.5,L2_W64_H4,4,2,-0.0017635822296142578,11,16,randomized,2,validation,2,211,64
0.625,L2_W64_H4,4,2,0.025945305824279785,11,16,randomized,2,validation,2,307,64
0.6875,L2_W64_H4,4,2,0.06948959827423096,11,16,aligned,2,validation,3,101,64
0.4375,L2_W64_H4,4,2,-0.00848841667175293,11,16,aligned,2,validation,3,211,64
0.6875,L2_W64_H4,4,2,0.020941495895385742,11,16,aligned,2,validation,3,307,64
0.75,L2_W64_H4,4,2,0.03811764717102051,11,16,randomized,2,validation,3,101,64
0.4375,L2_W64_H4,4,2,-0.0005171298980712891,11,16,randomized,2,validation,3,211,64
0.625,L2_W64_H4,4,2,0.02475559711456299,11,16,randomized,2,validation,3,307,64
0.5625,L2_W64_H4,4,2,0.014952301979064941,11,16,aligned,3,validation,0,101,64
0.625,L2_W64_H4,4,2,0.031139850616455078,11,16,aligned,3,validation,0,211,64
0.5625,L2_W64_H4,4,2,0.004726290702819824,11,16,aligned,3,validation,0,307,64
0.5625,L2_W64_H4,4,2,-0.0019245147705078125,11,16,randomized,3,validation,0,101,64
0.6875,L2_W64_H4,4,2,0.012680649757385254,11,16,randomized,3,validation,0,211,64
0.5625,L2_W64_H4,4,2,0.004071235656738281,11,16,randomized,3,validation,0,307,64
0.5625,L2_W64_H4,4,2,0.007497191429138184,11,16,aligned,3,validation,1,101,64
0.625,L2_W64_H4,4,2,0.029837608337402344,11,16,aligned,3,validation,1,211,64
0.5,L2_W64_H4,4,2,0.0019385814666748047,11,16,aligned,3,validation,1,307,64
0.5625,L2_W64_H4,4,2,-0.00288236141204834,11,16,randomized,3,validation,1,101,64
0.6875,L2_W64_H4,4,2,0.013632655143737793,11,16,randomized,3,validation,1,211,64
0.5625,L2_W64_H4,4,2,0.0030517578125,11,16,randomized,3,validation,1,307,64
0.5625,L2_W64_H4,4,2,0.012560486793518066,11,16,aligned,3,validation,2,101,64
0.625,L2_W64_H4,4,2,0.03192424774169922,11,16,aligned,3,validation,2,211,64
