architecture,branching,budget_multiplier,diagnostic_tier,distractors,evaluation_axis,example_id,heads,label_mode,model_depth,model_seed,output_entropy,position_mode,predicate,required_path,sequence_length,target_margin,target_probability,target_rank,template_id,top1_correct,total_depth,tree_seed,width
baseline,2,2,easy,4,depth_path,test:isAncestor:D2:d1:b2:N4:t2:paligned:tree101:i2,4,arbitrary,4,11,6.509675927190983e-07,aligned,isAncestor,1,16,17.916128158569336,1.0,1,2,1,2,101,64
baseline,2,2,easy,4,depth_path,test:isAncestor:D2:d1:b2:N4:t3:paligned:tree101:i3,4,arbitrary,4,11,0.00019374403927940875,aligned,isAncestor,1,16,11.4478178024292,0.9999855756759644,1,3,1,2,101,64
baseline,2,2,easy,4,depth_path,test:isAncestor:D2:d1:b2:N4:t0:paligned:tree211:i0,4,arbitrary,4,11,0.0017159609124064445,aligned,isAncestor,1,16,9.080789566040039,0.9998345375061035,1,0,1,2,211,64
baseline,2,2,easy,4,depth_path,test:isAncestor:D2:d1:b2:N4:t1:paligned:tree211:i1,4,arbitrary,4,11,0.0005619369330815971,aligned,isAncestor,1,16,10.088052749633789,0.9999512434005737,1,1,1,2,211,64
baseline,2,2,easy,4,depth_path,test:isAncestor:D2:d1:b2:N4:t2:paligned:tree211:i2,4,arbitrary,4,11,0.000184146934770979,aligned,isAncestor,1,16,11.722078323364258,0.999987006187439,1,2,1,2,211,64
baseline,2,2,easy,4,depth_path,test:isAncestor:D2:d1:b2:N4:t3:paligned:tree211:i3,4,arbitrary,4,11,0.00043998396722599864,aligned,isAncestor,1,16,10.745875358581543,0.9999643564224243,1,3,1,2,211,64
baseline,2,2,easy,4,depth_path,test:isAncestor:D2:d1:b2:N4:t0:paligned:tree307:i0,4,arbitrary,4,11,3.4117339964723215e-05,aligned,isAncestor,1,16,13.048702239990234,0.9999977350234985,1,0,1,2,307,64
baseline,2,2,easy,4,depth_path,test:isAncestor:D2:d1:b2:N4:t1:paligned:tree307:i1,4,arbitrary,4,11,0.013348338194191456,aligned,isAncestor,1,16,6.844049453735352,0.9983491897583008,1,1,1,2,307,64
baseline,2,2,easy,4,depth_path,test:isAncestor:D2:d1:b2:N4:t2:paligned:tree307:i2,4,arbitrary,4,11,0.0007624903228133917,aligned,isAncestor,1,16,9.90144157409668,0.9999334812164307,1,2,1,2,307,64
baseline,2,2,easy,4,depth_path,test:isAncestor:D2:d1:b2:N4:t3:paligned:tree307:i3,4,arbitrary,4,11,0.004593163263052702,aligned,isAncestor,1,16,7.797508239746094,0.9994975328445435,1,3,1,2,307,64
baseline,2,2,easy,4,depth_path,test:isAncestor:D2:d2:b2:N4:t0:paligned:tree101:i0,4,arbitrary,4,11,1.779564854587079e-06,aligned,isAncestor,2,16,16.69150161743164,1.0,1,0,1,2,101,64
