architecture_depth,block_update_cosine,ff_update_cosine,layer,long_length,model_seed,regime,sa_update_cosine,short_length
8,0.6135282516479492,0.669964075088501,1,3,11,supportive,0.6314444541931152,2
8,0.26904618740081787,0.5429232716560364,1,3,11,supportive,0.25024527311325073,2
8,0.9855271577835083,0.9962549805641174,1,3,11,supportive,0.9851289987564087,2
8,0.9956727027893066,0.997279703617096,1,3,11,supportive,0.994610071182251,2
8,-0.7231218218803406,0.2006673812866211,1,3,11,supportive,-0.8138197660446167,2
8,0.7792031168937683,0.7980444431304932,1,3,11,supportive,0.7898759245872498,2
8,0.027399063110351562,0.9052196145057678,1,3,11,supportive,-0.05591737478971481,2
8,-0.2589547038078308,0.8842113614082336,1,3,11,supportive,-0.3238953649997711,2
8,-0.332912802696228,0.41181230545043945,1,3,11,supportive,-0.3694828450679779,2
8,-0.5290531516075134,0.6328755021095276,1,3,11,supportive,-0.6168904304504395,2
8,0.0801597461104393,0.8711909055709839,1,3,11,supportive,-0.012369785457849503,2
8,0.27711430191993713,0.5723617076873779,1,3,11,supportive,0.2981865704059601,2
8,-0.332912802696228,0.41181230545043945,1,3,11,supportive,-0.3694828450679779,2
8,-0.06676405668258667,0.9372127056121826,1,3,11,supportive,-0.2427409291267395,2
8,0.9881477355957031,0.9992931485176086,1,3,11,supportive,0.9870491623878479,2
8,-0.46892380714416504,-0.22721950709819794,2,3,11,redundant,-0.6646850109100342,2
8,0.37067747116088867,-0.08629707992076874,2,3,11,redundant,0.6072249412536621,2
8,0.5428780317306519,0.4059104323387146,2,3,11,redundant,0.7031144499778748,2
8,0.3708987236022949,0.37827226519584656,2,3,11,redundant,0.3137070834636688,2
8,-0.09666532278060913,-0.42082297801971436,2,3,11,redundant,-0.3191973567008972,2
8,-0.3359895646572113,0.1602441668510437,2,3,11,redundant,-0.3603152334690094,2
8,0.6953229904174805,0.8989822268486023,2,3,11,redundant,0.6548425555229187,2
8,-0.24473793804645538,0.1974005550146103,2,3,11,redundant,-0.27107489109039307,2
8,0.6341055631637573,0.7564085125923157,2,3,11,redundant,0.667961835861206,2
8,0.6350507140159607,0.7593615651130676,2,3,11,redundant,0.6680473685264587,2
8,0.2748761773109436,0.6016935110092163,2,3,11,redundant,0.3411957323551178,2
8,0.4467643201351166,-0.3240354061126709,2,3,11,redundant,0.2850414514541626,2
8,0.05435194820165634,0.41156643629074097,2,3,11,redundant,0.14337655901908875,2
8,-0.5267382264137268,0.5915181040763855,2,3,11,redundant,-0.7739570736885071,2
8,0.6555988788604736,0.744975745677948,2,3,11,redundant,0.6477729082107544,2
8,0.41289520263671875,0.5308656096458435,2,3,11,redundant,0.2792609930038452,2
8,-0.5022320747375488,-0.25856703519821167,2,3,11,redundant,-0.3734963536262512,2
8,-0.5435848236083984,-0.35960865020751953,2,3,11,redundant,-0.6436141729354858,2
8,0.625310480594635,0.7462144494056702,2,3,11,redundant,0.3528396487236023,2
8,0.402682363986969,0.5454257726669312,2,3,11,redundant,0.27548322081565857,2
8,-0.15299776196479797,-0.09888602048158646,2,3,11,redundant,-0.1371290385723114,2
8,-0.18289120495319366,0.21245473623275757,2,3,11,redundant,-0.22174480557441711,2
8,0.6775849461555481,0.1185639500617981,2,3,11,redundant,0.6908372640609741,2
8,0.4165295362472534,0.30160629749298096,2,3,11,redundant,0.5107641816139221,2
8,-0.7111269235610962,0.11824685335159302,2,3,11,redundant,-0.8833455443382263,2
8,0.5757378935813904,0.059084679931402206,2,3,11,redundant,0.5640194416046143,2
8,0.9695785045623779,0.1993955373764038,2,3,11,redundant,0.9891052842140198,2
8,0.4589079022407532,0.45462870597839355,2,3,11,redundant,0.508464515209198,2
8,-0.5459439158439636,-0.14945872128009796,2,3,11,redundant,-0.6190588474273682,2
8,-0.09412886947393417,-0.21488043665885925,2,3,11,redundant,-0.07805588096380234,2
8,-0.3421255052089691,-0.27705803513526917,2,3,11,redundant,-0.2024613469839096,2
8,0.49234622716903687,0.9056107401847839,2,3,11,redundant,0.19520264863967896,2
8,-0.27881908416748047,-0.2201855629682541,2,3,11,supportive,0.13591521978378296,2
8,0.06995826214551926,-0.1791960895061493,2,3,11,supportive,0.017639055848121643,2
8,0.9864325523376465,0.9629188179969788,2,3,11,supportive,0.9965851902961731,2
8,0.13153845071792603,-0.2493787556886673,2,3,11,supportive,0.3589387536048889,2
8,0.3265971541404724,0.9513512253761292,2,3,11,supportive,-0.10211451351642609,2
8,0.5853277444839478,-0.24389271438121796,2,3,11,supportive,0.5981069803237915,2
8,0.40141576528549194,-0.14021772146224976,2,3,11,supportive,0.3199681043624878,2
