condition,episode_id,family,heads,layers,modulus,parameters,seed,split,target,target_margin,target_rank,top1,variant,width
wrong_rule,e1b95782f3b2de13,affine,1,1,5,4;2,11,seen_parameter,3,-2.318896770477295,10,0,sa_only,32
correct,01c5fcccbd31bc3d,affine,1,1,5,4;2,11,seen_parameter,0,-1.855550765991211,10,0,sa_only,32
none,01c5fcccbd31bc3d,affine,1,1,5,4;2,11,seen_parameter,0,-1.4763929843902588,15,0,sa_only,32
shuffled,01c5fcccbd31bc3d,affine,1,1,5,4;2,11,seen_parameter,0,-1.8542258739471436,10,0,sa_only,32
wrong_rule,01c5fcccbd31bc3d,affine,1,1,5,4;2,11,seen_parameter,0,-1.9159274101257324,9,0,sa_only,32
correct,beb0d5fbc3ece291,affine,1,1,5,4;2,11,seen_parameter,3,-2.2563748359680176,10,0,sa_only,32
none,beb0d5fbc3ece291,affine,1,1,5,4;2,11,seen_parameter,3,-2.221045970916748,9,0,sa_only,32
shuffled,beb0d5fbc3ece291,affine,1,1,5,4;2,11,seen_parameter,3,-2.220581531524658,10,0,sa_only,32
wrong_rule,beb0d5fbc3ece291,affine,1,1,5,4;2,11,seen_parameter,3,-2.208118438720703,10,0,sa_only,32
correct,51bc54bdd119f22e,affine,1,1,5,4;2,11,seen_parameter,1,1.736982822418213,1,1,sa_only,32
none,51bc54bdd119f22e,affine,1,1,5,4;2,11,seen_parameter,1,1.142787218093872,1,1,sa_only,32
shuffled,51bc54bdd119f22e,affine,1,1,5,4;2,11,seen_parameter,1,1.7492456436157227,1,1,sa_only,32
wrong_rule,51bc54bdd119f22e,affine,1,1,5,4;2,11,seen_parameter,1,1.5114154815673828,1,1,sa_only,32
correct,7aa12f1f5e0a400b,affine,1,1,5,1;0,11,seen_parameter,4,0.8974318504333496,1,1,sa_only,32
none,7aa12f1f5e0a400b,affine,1,1,5,1;0,11,seen_parameter,4,0.9699883460998535,1,1,sa_only,32
shuffled,7aa12f1f5e0a400b,affine,1,1,5,1;0,11,seen_parameter,4,0.9289641380310059,1,1,sa_only,32
wrong_rule,7aa12f1f5e0a400b,affine,1,1,5,1;0,11,seen_parameter,4,0.9927334785461426,1,1,sa_only,32
correct,53fd85acd81b107f,affine,1,1,5,1;0,11,seen_parameter,1,1.6755805015563965,1,1,sa_only,32
none,53fd85acd81b107f,affine,1,1,5,1;0,11,seen_parameter,1,1.142787218093872,1,1,sa_only,32
shuffled,53fd85acd81b107f,affine,1,1,5,1;0,11,seen_parameter,1,1.7338523864746094,1,1,sa_only,32
wrong_rule,53fd85acd81b107f,affine,1,1,5,1;0,11,seen_parameter,1,1.7348365783691406,1,1,sa_only,32
correct,84c302a0f5261d76,affine,1,1,5,1;0,11,seen_parameter,4,0.9030728340148926,1,1,sa_only,32
none,84c302a0f5261d76,affine,1,1,5,1;0,11,seen_parameter,4,0.9699883460998535,1,1,sa_only,32
shuffled,84c302a0f5261d76,affine,1,1,5,1;0,11,seen_parameter,4,0.8724794387817383,1,1,sa_only,32
wrong_rule,84c302a0f5261d76,affine,1,1,5,1;0,11,seen_parameter,4,0.952207088470459,1,1,sa_only,32
correct,00f0beb726ec5a0d,affine,1,1,5,1;0,11,seen_parameter,2,1.0436110496520996,1,1,sa_only,32
none,00f0beb726ec5a0d,affine,1,1,5,1;0,11,seen_parameter,2,0.24338579177856445,1,1,sa_only,32
shuffled,00f0beb726ec5a0d,affine,1,1,5,1;0,11,seen_parameter,2,0.9480557441711426,1,1,sa_only,32
wrong_rule,00f0beb726ec5a0d,affine,1,1,5,1;0,11,seen_parameter,2,0.9151902198791504,1,1,sa_only,32
correct,dda8be99caa0f3c0,affine,1,1,5,3;2,11,seen_parameter,2,-1.5151119232177734,3,0,sa_only,32
none,dda8be99caa0f3c0,affine,1,1,5,3;2,11,seen_parameter,2,-1.1954922676086426,2,0,sa_only,32
shuffled,dda8be99caa0f3c0,affine,1,1,5,3;2,11,seen_parameter,2,-1.59837007522583,3,0,sa_only,32
wrong_rule,dda8be99caa0f3c0,affine,1,1,5,3;2,11,seen_parameter,2,-1.6011557579040527,3,0,sa_only,32
correct,18a526c07b869390,affine,1,1,5,3;2,11,seen_parameter,0,-2.6345694065093994,11,0,sa_only,32
none,18a526c07b869390,affine,1,1,5,3;2,11,seen_parameter,0,-2.1030921936035156,13,0,sa_only,32
shuffled,18a526c07b869390,affine,1,1,5,3;2,11,seen_parameter,0,-2.635620355606079,10,0,sa_only,32
wrong_rule,18a526c07b869390,affine,1,1,5,3;2,11,seen_parameter,0,-2.720853328704834,9,0,sa_only,32
correct,466ec94439845d49,affine,1,1,5,3;2,11,seen_parameter,3,-2.7955687046051025,19,0,sa_only,32
none,466ec94439845d49,affine,1,1,5,3;2,11,seen_parameter,3,-2.0551199913024902,23,0,sa_only,32
shuffled,466ec94439845d49,affine,1,1,5,3;2,11,seen_parameter,3,-2.7390406131744385,19,0,sa_only,32
wrong_rule,466ec94439845d49,affine,1,1,5,3;2,11,seen_parameter,3,-2.7235615253448486,19,0,sa_only,32
correct,e55c76f303532cd5,affine,1,1,5,3;2,11,seen_parameter,0,-2.60868501663208,10,0,sa_only,32
none,e55c76f303532cd5,affine,1,1,5,3;2,11,seen_parameter,0,-2.1030921936035156,13,0,sa_only,32
shuffled,e55c76f303532cd5,affine,1,1,5,3;2,11,seen_parameter,0,-2.5951335430145264,11,0,sa_only,32
wrong_rule,e55c76f303532cd5,affine,1,1,5,3;2,11,seen_parameter,0,-2.5504634380340576,11,0,sa_only,32
correct,ecd3ecd7eaef7a9c,affine,1,1,5,0;4,11,seen_parameter,4,-2.222754716873169,10,0,sa_only,32
none,ecd3ecd7eaef7a9c,affine,1,1,5,0;4,11,seen_parameter,4,-1.5553510189056396,9,0,sa_only,32
shuffled,ecd3ecd7eaef7a9c,affine,1,1,5,0;4,11,seen_parameter,4,-2.222754716873169,10,0,sa_only,32
wrong_rule,ecd3ecd7eaef7a9c,affine,1,1,5,0;4,11,seen_parameter,4,-2.15883469581604,11,0,sa_only,32
correct,e276c20d8dcbca42,affine,1,1,5,0;4,11,seen_parameter,4,-3.142641067504883,16,0,sa_only,32
none,e276c20d8dcbca42,affine,1,1,5,0;4,11,seen_parameter,4,-2.310424327850342,18,0,sa_only,32
shuffled,e276c20d8dcbca42,affine,1,1,5,0;4,11,seen_parameter,4,-3.142641067504883,16,0,sa_only,32
wrong_rule,e276c20d8dcbca42,affine,1,1,5,0;4,11,seen_parameter,4,-2.922653913497925,17,0,sa_only,32
correct,b967806479bb431a,affine,1,1,5,0;4,11,seen_parameter,4,1.0976223945617676,1,1,sa_only,32
none,b967806479bb431a,affine,1,1,5,0;4,11,seen_parameter,4,0.9699883460998535,1,1,sa_only,32
shuffled,b967806479bb431a,affine,1,1,5,0;4,11,seen_parameter,4,1.0976223945617676,1,1,sa_only,32
wrong_rule,b967806479bb431a,affine,1,1,5,0;4,11,seen_parameter,4,0.831449031829834,1,1,sa_only,32
correct,2c17eeb40cec3d5e,affine,1,1,5,0;4,11,seen_parameter,4,-2.4446053504943848,12,0,sa_only,32
none,2c17eeb40cec3d5e,affine,1,1,5,0;4,11,seen_parameter,4,-1.6034882068634033,17,0,sa_only,32
shuffled,2c17eeb40cec3d5e,affine,1,1,5,0;4,11,seen_parameter,4,-2.4446053504943848,12,0,sa_only,32
wrong_rule,2c17eeb40cec3d5e,affine,1,1,5,0;4,11,seen_parameter,4,-2.3399033546447754,14,0,sa_only,32
correct,9936490f6b0e7bfa,affine,1,1,5,3;3,11,seen_parameter,3,-2.752166748046875,8,0,sa_only,32
none,9936490f6b0e7bfa,affine,1,1,5,3;3,11,seen_parameter,3,-2.2509264945983887,7,0,sa_only,32
shuffled,9936490f6b0e7bfa,affine,1,1,5,3;3,11,seen_parameter,3,-2.7292861938476562,8,0,sa_only,32
wrong_rule,9936490f6b0e7bfa,affine,1,1,5,3;3,11,seen_parameter,3,-3.042226552963257,7,0,sa_only,32
correct,ca1d87c549887a71,affine,1,1,5,3;3,11,seen_parameter,0,-2.1677443981170654,7,0,sa_only,32
none,ca1d87c549887a71,affine,1,1,5,3;3,11,seen_parameter,0,-2.137338638305664,7,0,sa_only,32
shuffled,ca1d87c549887a71,affine,1,1,5,3;3,11,seen_parameter,0,-2.179743766784668,7,0,sa_only,32
wrong_rule,ca1d87c549887a71,affine,1,1,5,3;3,11,seen_parameter,0,-2.197807788848877,7,0,sa_only,32
correct,ef5beac42158c5fd,affine,1,1,5,3;3,11,seen_parameter,0,-2.129746437072754,7,0,sa_only,32
none,ef5beac42158c5fd,affine,1,1,5,3;3,11,seen_parameter,0,-2.137338638305664,7,0,sa_only,32
shuffled,ef5beac42158c5fd,affine,1,1,5,3;3,11,seen_parameter,0,-2.1514792442321777,7,0,sa_only,32
wrong_rule,ef5beac42158c5fd,affine,1,1,5,3;3,11,seen_parameter,0,-2.036799430847168,7,0,sa_only,32
correct,8dc35fd1c76a2d27,affine,1,1,5,3;3,11,seen_parameter,2,-2.01845645904541,8,0,sa_only,32
none,8dc35fd1c76a2d27,affine,1,1,5,3;3,11,seen_parameter,2,-1.378664255142212,7,0,sa_only,32
shuffled,8dc35fd1c76a2d27,affine,1,1,5,3;3,11,seen_parameter,2,-1.9914381504058838,8,0,sa_only,32
wrong_rule,8dc35fd1c76a2d27,affine,1,1,5,3;3,11,seen_parameter,2,-1.884171962738037,8,0,sa_only,32
correct,0b83467ea717bb82,affine,1,1,5,1;3,11,seen_parameter,2,-1.563525676727295,3,0,sa_only,32
none,0b83467ea717bb82,affine,1,1,5,1;3,11,seen_parameter,2,-1.4755620956420898,3,0,sa_only,32
shuffled,0b83467ea717bb82,affine,1,1,5,1;3,11,seen_parameter,2,-1.554084300994873,3,0,sa_only,32
