accuracy_delta,component,donor,donor_type,js_damage,layer,margin_damage,model_depth,model_seed,predicate,recipient,stage,status
0,sa,test:isAncestor:D16:d6:b2:N4:t0:paligned:tree211:i0,same_predicate_cross_tree_same_role,2.6695015549194068e-05,1,0.09590530395507812,4,23,,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,s1,
0,ff,test:isAncestor:D16:d6:b2:N4:t0:paligned:tree211:i0,same_predicate_cross_tree_same_role,2.2478070604847744e-06,1,0.033707618713378906,4,23,,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,s1,
0,sa,test:isAncestor:D16:d6:b2:N4:t0:paligned:tree211:i0,same_predicate_cross_tree_same_role,3.4210781450383365e-05,2,0.09875965118408203,4,23,,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,s1,
0,ff,test:isAncestor:D16:d6:b2:N4:t0:paligned:tree211:i0,same_predicate_cross_tree_same_role,2.8005415515508503e-05,2,-0.2881326675415039,4,23,,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,s1,
0,sa,test:isAncestor:D16:d6:b2:N4:t0:paligned:tree211:i0,same_predicate_cross_tree_same_role,2.1995343558955938e-05,3,0.1668844223022461,4,23,,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,s1,
0,ff,test:isAncestor:D16:d6:b2:N4:t0:paligned:tree211:i0,same_predicate_cross_tree_same_role,8.121154678519815e-06,3,-0.0925455093383789,4,23,,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,s1,
0,sa,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree211:i0,same_predicate_cross_tree_same_role,6.96871429681778e-05,0,-2.289966583251953,6,37,,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,s1,
0,ff,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree211:i0,same_predicate_cross_tree_same_role,1.2926451745443046e-05,0,-0.671539306640625,6,37,,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,s1,
0,sa,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree211:i0,same_predicate_cross_tree_same_role,1.0426159860799089e-05,1,0.44765663146972656,6,37,,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,s1,
0,ff,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree211:i0,same_predicate_cross_tree_same_role,4.4207517930772156e-06,1,-0.3572731018066406,6,37,,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,s1,
0,sa,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree211:i0,same_predicate_cross_tree_same_role,9.772402336238883e-07,2,-0.1425037384033203,6,37,,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,s1,
0,ff,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree211:i0,same_predicate_cross_tree_same_role,1.324337972619105e-07,2,-0.05817985534667969,6,37,,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,s1,
0,sa,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree211:i0,same_predicate_cross_tree_same_role,3.0634128052042797e-06,3,-0.2861499786376953,6,37,,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,s1,
0,ff,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree211:i0,same_predicate_cross_tree_same_role,4.951798473484814e-07,3,-0.11763572692871094,6,37,,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,s1,
0,sa,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree211:i0,same_predicate_cross_tree_same_role,1.534365765110124e-06,4,-0.2013874053955078,6,37,,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,s1,
0,ff,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree211:i0,same_predicate_cross_tree_same_role,2.299225343449507e-07,4,-0.06409645080566406,6,37,,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,s1,
0,sa,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree211:i0,same_predicate_cross_tree_same_role,1.2544433047878556e-08,5,-0.009149551391601562,6,37,,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,s1,
0,ff,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree211:i0,same_predicate_cross_tree_same_role,5.134597813594155e-08,5,-0.03630828857421875,6,37,,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,s1,
0,sa,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree101:i0,same_predicate_cross_tree_same_role,7.180378815974109e-06,0,0.25609683990478516,6,37,,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,s1,
0,ff,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree101:i0,same_predicate_cross_tree_same_role,2.136951297870837e-05,0,-0.8598499298095703,6,37,,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,s1,
0,sa,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree101:i0,same_predicate_cross_tree_same_role,2.9303475457709283e-05,1,0.6625633239746094,6,37,,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,s1,
0,ff,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree101:i0,same_predicate_cross_tree_same_role,8.25177994556725e-06,1,0.3939533233642578,6,37,,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,s1,
0,sa,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree101:i0,same_predicate_cross_tree_same_role,1.1567990441108122e-06,2,0.152130126953125,6,37,,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,s1,
0,ff,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree101:i0,same_predicate_cross_tree_same_role,3.3071664802264422e-06,2,0.2528362274169922,6,37,,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,s1,
0,sa,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree101:i0,same_predicate_cross_tree_same_role,1.6429548850283027e-06,3,0.1852264404296875,6,37,,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,s1,
0,ff,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree101:i0,same_predicate_cross_tree_same_role,2.2769327188143507e-06,3,0.21535301208496094,6,37,,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,s1,
0,sa,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree101:i0,same_predicate_cross_tree_same_role,7.326434570131823e-07,4,0.12568092346191406,6,37,,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,s1,
0,ff,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree101:i0,same_predicate_cross_tree_same_role,2.0616444089682773e-06,4,0.20172500610351562,6,37,,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,s1,
0,sa,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree101:i0,same_predicate_cross_tree_same_role,1.4003535397932865e-07,5,0.05533409118652344,6,37,,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,s1,
