accuracy_delta,example_id,head,js_damage,layer,margin_delta,mode,model_seed,predictive_order
-1,test:l2:t1:prandomized:c0:i13,2,0.6931471824645996,0,-33.127363204956055,,11,2
0,test:l2:t1:prandomized:c0:i13,3,0.013756651431322098,0,-9.485895156860352,,11,2
0,test:l2:t1:prandomized:c0:i13,0,1.1553078365977854e-05,1,-2.720245361328125,,11,2
0,test:l2:t1:prandomized:c0:i13,1,2.727140781644266e-06,1,-1.720947265625,,11,2
0,test:l2:t1:prandomized:c0:i13,2,9.556695879098243e-09,1,0.1636333465576172,,11,2
0,test:l2:t1:prandomized:c0:i13,3,2.234378825960448e-06,1,-1.6047210693359375,,11,2
0,test:l2:t1:prandomized:c0:i13,0,3.68904906622447e-12,2,0.0012645721435546875,,11,2
0,test:l2:t1:prandomized:c0:i13,1,3.3369994412169035e-07,2,1.2754192352294922,,11,2
0,test:l2:t1:prandomized:c0:i13,2,2.6251424856127414e-07,2,-0.69097900390625,,11,2
0,test:l2:t1:prandomized:c0:i13,3,1.7956463125301525e-06,2,-1.4826068878173828,,11,2
