dependency_span,family_id,first_top1_layer,margin_trajectory,model_depth,model_seed,model_type,model_width,nuisance_count,parameter_count,predictive_order,raw_length,settling_delay,span_mode,stable_top1_layer,top1_reversals,training_budget,training_steps
6,"p6:(2, 0, 0, 0, 0, 2):11",1,-32.3207;2.60541;-0.313667,2,11,transformer,64,0,78336,6,6,,contiguous,,2,1,400
6,"p6:(1, 2, 2, 1, 2, 1):12",,-46.7437;-4.20687;-0.181921,2,11,transformer,64,0,78336,6,6,,contiguous,,0,1,400
6,"p6:(2, 0, 2, 0, 3, 1):13",1,-32.3207;2.49946;-0.364384,2,11,transformer,64,0,78336,6,6,,contiguous,,2,1,400
6,"p6:(0, 1, 0, 1, 2, 3):14",2,-37.1035;-2.37622;0.411266,2,11,transformer,64,0,78336,6,6,0,contiguous,2,1,1,400
6,"p6:(2, 3, 3, 3, 1, 2):15",,-50.6095;-7.71686;-0.457207,2,11,transformer,64,0,78336,6,6,,contiguous,,0,1,400
8,"p8:(2, 3, 1, 0, 2, 2, 0, 1):0",2,-37.1035;-2.89156;0.168541,2,11,transformer,64,0,78336,8,8,0,contiguous,2,1,1,400
8,"p8:(2, 1, 0, 1, 0, 1, 1, 2):1",1,-32.3207;2.99491;-0.0919018,2,11,transformer,64,0,78336,8,8,,contiguous,,2,1,400
8,"p8:(1, 0, 3, 3, 3, 3, 0, 1):2",,-50.6095;-8.13289;-0.687149,2,11,transformer,64,0,78336,8,8,,contiguous,,0,1,400
8,"p8:(0, 0, 2, 2, 3, 1, 0, 1):3",,-46.7437;-4.28858;-0.319155,2,11,transformer,64,0,78336,8,8,,contiguous,,0,1,400
8,"p8:(1, 1, 1, 0, 2, 3, 0, 1):4",,-46.7437;-4.27164;-0.309917,2,11,transformer,64,0,78336,8,8,,contiguous,,0,1,400
8,"p8:(0, 2, 1, 0, 0, 3, 3, 0):5",,-46.7437;-3.89224;-0.203098,2,11,transformer,64,0,78336,8,8,,contiguous,,0,1,400
8,"p8:(0, 2, 3, 2, 3, 1, 2, 2):6",2,-37.1035;-2.3619;0.398878,2,11,transformer,64,0,78336,8,8,0,contiguous,2,1,1,400
8,"p8:(1, 3, 2, 1, 1, 2, 0, 2):7",1,-32.3207;3.04858;-0.0649071,2,11,transformer,64,0,78336,8,8,,contiguous,,2,1,400
8,"p8:(3, 3, 3, 0, 2, 0, 2, 1):8",,-50.6095;-8.0714;-0.669609,2,11,transformer,64,0,78336,8,8,,contiguous,,0,1,400
8,"p8:(1, 0, 3, 3, 2, 3, 1, 1):9",,-50.6095;-8.12294;-0.676029,2,11,transformer,64,0,78336,8,8,,contiguous,,0,1,400
8,"p8:(3, 2, 2, 0, 0, 3, 2, 1):10",,-46.7437;-4.38863;-0.367363,2,11,transformer,64,0,78336,8,8,,contiguous,,0,1,400
8,"p8:(2, 2, 3, 0, 3, 0, 0, 3):11",,-46.7437;-3.54516;-0.144102,2,11,transformer,64,0,78336,8,8,,contiguous,,0,1,400
