condition,example_id,family,heads,icl_gain,layers,margin,model_seed,probability,rank,stage,target,top1,width
none,63,7,1,,6,-15.355817794799805,11,1.8162485559969355e-07,124,D4,6,0,8
correct,63,7,1,22.37655735015869,6,7.020739555358887,11,0.9910764694213867,1,D4,6,1,8
shuffled,63,7,1,,6,-8.174898147583008,11,0.0002804326650220901,6,D4,6,0,8
wrong_chain,63,7,1,,6,-10.364337921142578,11,3.0165227144607343e-05,60,D4,6,0,8
irrelevant,63,7,1,,6,-8.437128067016602,11,0.0001995215134229511,15,D4,6,0,8
reversed,63,7,1,,6,7.3788065910339355,11,0.9909703731536865,1,D4,6,1,8
none,0,0,1,,6,-5.9242730140686035,23,0.0024329570587724447,4,D4,6,0,8
correct,0,0,1,10.069933414459229,6,4.145660400390625,23,0.9784209132194519,1,D4,6,1,8
shuffled,0,0,1,,6,-7.839127540588379,23,0.0003901708987541497,7,D4,6,0,8
wrong_chain,0,0,1,,6,-0.138671875,23,0.45246145129203796,2,D4,6,0,8
irrelevant,0,0,1,,6,-4.085152626037598,23,0.012449288740754128,3,D4,6,0,8
reversed,0,0,1,,6,3.2268781661987305,23,0.9541831612586975,1,D4,6,1,8
none,1,0,1,,6,-5.9242730140686035,23,0.0024329570587724447,4,D4,6,0,8
correct,1,0,1,10.069933414459229,6,4.145660400390625,23,0.9784209132194519,1,D4,6,1,8
shuffled,1,0,1,,6,-7.839127540588379,23,0.0003901708987541497,7,D4,6,0,8
wrong_chain,1,0,1,,6,-0.138671875,23,0.45246145129203796,2,D4,6,0,8
irrelevant,1,0,1,,6,-4.085152626037598,23,0.012449288740754128,3,D4,6,0,8
reversed,1,0,1,,6,3.2268781661987305,23,0.9541831612586975,1,D4,6,1,8
none,2,0,1,,6,-5.9242730140686035,23,0.0024329570587724447,4,D4,6,0,8
correct,2,0,1,10.069933414459229,6,4.145660400390625,23,0.9784209132194519,1,D4,6,1,8
shuffled,2,0,1,,6,-7.839127540588379,23,0.0003901708987541497,7,D4,6,0,8
wrong_chain,2,0,1,,6,-0.138671875,23,0.45246145129203796,2,D4,6,0,8
irrelevant,2,0,1,,6,-4.085152626037598,23,0.012449288740754128,3,D4,6,0,8
reversed,2,0,1,,6,3.2268781661987305,23,0.9541831612586975,1,D4,6,1,8
none,3,0,1,,6,-5.9242730140686035,23,0.0024329570587724447,4,D4,6,0,8
correct,3,0,1,10.069933414459229,6,4.145660400390625,23,0.9784209132194519,1,D4,6,1,8
shuffled,3,0,1,,6,-6.930461883544922,23,0.0009602101636119187,6,D4,6,0,8
wrong_chain,3,0,1,,6,-0.138671875,23,0.45246145129203796,2,D4,6,0,8
irrelevant,3,0,1,,6,-4.085152626037598,23,0.012449288740754128,3,D4,6,0,8
reversed,3,0,1,,6,3.2268781661987305,23,0.9541831612586975,1,D4,6,1,8
none,4,0,1,,6,-5.9242730140686035,23,0.0024329570587724447,4,D4,6,0,8
correct,4,0,1,10.069933414459229,6,4.145660400390625,23,0.9784209132194519,1,D4,6,1,8
shuffled,4,0,1,,6,-7.839127540588379,23,0.0003901708987541497,7,D4,6,0,8
wrong_chain,4,0,1,,6,-0.138671875,23,0.45246145129203796,2,D4,6,0,8
irrelevant,4,0,1,,6,-4.085152626037598,23,0.012449288740754128,3,D4,6,0,8
reversed,4,0,1,,6,3.2268781661987305,23,0.9541831612586975,1,D4,6,1,8
none,5,0,1,,6,-5.9242730140686035,23,0.0024329570587724447,4,D4,6,0,8
correct,5,0,1,10.069933414459229,6,4.145660400390625,23,0.9784209132194519,1,D4,6,1,8
shuffled,5,0,1,,6,-6.930461883544922,23,0.0009602101636119187,6,D4,6,0,8
wrong_chain,5,0,1,,6,-0.138671875,23,0.45246145129203796,2,D4,6,0,8
irrelevant,5,0,1,,6,-4.085152626037598,23,0.012449288740754128,3,D4,6,0,8
reversed,5,0,1,,6,3.2268781661987305,23,0.9541831612586975,1,D4,6,1,8
none,6,0,1,,6,-5.9242730140686035,23,0.0024329570587724447,4,D4,6,0,8
correct,6,0,1,10.069933414459229,6,4.145660400390625,23,0.9784209132194519,1,D4,6,1,8
shuffled,6,0,1,,6,-6.930461883544922,23,0.0009602101636119187,6,D4,6,0,8
wrong_chain,6,0,1,,6,-0.138671875,23,0.45246145129203796,2,D4,6,0,8
irrelevant,6,0,1,,6,-4.085152626037598,23,0.012449288740754128,3,D4,6,0,8
reversed,6,0,1,,6,3.2268781661987305,23,0.9541831612586975,1,D4,6,1,8
none,7,0,1,,6,-5.9242730140686035,23,0.0024329570587724447,4,D4,6,0,8
correct,7,0,1,10.069933414459229,6,4.145660400390625,23,0.9784209132194519,1,D4,6,1,8
shuffled,7,0,1,,6,-7.839127540588379,23,0.0003901708987541497,7,D4,6,0,8
wrong_chain,7,0,1,,6,-0.138671875,23,0.45246145129203796,2,D4,6,0,8
irrelevant,7,0,1,,6,-4.085152626037598,23,0.012449288740754128,3,D4,6,0,8
reversed,7,0,1,,6,3.2268781661987305,23,0.9541831612586975,1,D4,6,1,8
none,8,1,1,,6,-5.437256336212158,23,0.004270362202078104,3,D4,6,0,8
correct,8,1,1,11.472782611846924,6,6.035526275634766,23,0.9913195967674255,1,D4,6,1,8
shuffled,8,1,1,,6,-4.903347492218018,23,0.0073051415383815765,2,D4,6,0,8
wrong_chain,8,1,1,,6,5.052700042724609,23,0.9846791625022888,1,D4,6,1,8
irrelevant,8,1,1,,6,-1.1898193359375,23,0.2173205018043518,2,D4,6,0,8
