depth,ff_update_norm,layer,model_seed,n,nuisance_distance,nuisance_type,per_head_output_norm_mean,predictive_span,sa_nuisance_attention_mass,sa_signal_attention_mass,sa_update_norm,trained_window,window
6,1.4136372953653336,3,11,64,16,N2,1.497305290773511,8,0.10953572738799267,0.16708398022456095,3.9847883693873882,full,full
6,1.0330541105940938,4,11,64,16,N1,1.0099384300410748,8,0.048129257280379534,0.27174013236071914,2.161979904398322,full,full
6,1.040516659617424,4,11,64,16,N2,1.0232391143217683,8,0.04233367252163589,0.2759625588078052,2.191620236262679,full,full
6,1.3701042383909225,5,11,64,16,N1,0.6139410547912121,8,0.052701568172778934,0.0794768807827495,1.5802596546709538,full,full
6,1.3751181866973639,5,11,64,16,N2,0.6246958673000336,8,0.05060447542928159,0.07927251129876822,1.6035965904593468,full,full
6,1.9114854354411364,0,11,64,16,N3,2.171256151050329,8,0.1697481752926251,0.433692162623629,5.202226407825947,full,full
6,1.9720977451652288,0,11,64,32,N1,2.211565002799034,8,0.14079400028276723,0.4434636846417561,5.338309068232775,full,full
6,2.0009291507303715,1,11,64,16,N3,2.4782142508774996,8,0.11427765409462154,0.3726050292607397,5.949236996471882,full,full
6,1.9649400506168604,1,11,64,32,N1,2.5017158947885036,8,0.1296346937888302,0.36476863076677546,6.012409020215273,full,full
6,1.8306876104325056,2,11,64,16,N3,1.7440019585192204,8,0.035394585895119235,0.6054200567305088,4.090535182505846,full,full
6,1.870171120390296,2,11,64,32,N1,1.7740227412432432,8,0.01083403642041958,0.6115028662607074,4.1093976609408855,full,full
6,1.4123728331178427,3,11,64,16,N3,1.4956956077367067,8,0.1069433159136679,0.172205081616994,3.9911766909062862,full,full
6,1.4060624688863754,3,11,64,32,N1,1.4633250460028648,8,0.03979744468233548,0.17653552984120324,3.793111938983202,full,full
6,1.041004960425198,4,11,64,16,N3,1.010090242139995,8,0.04671320499619469,0.2680377790820785,2.162195460870862,full,full
6,1.039840292185545,4,11,64,32,N1,1.0118485363200307,8,0.043880354263819754,0.28613657620735466,2.1885167732834816,full,full
6,1.357123821042478,5,11,64,16,N3,0.61302649974823,8,0.052510526264086366,0.07925470062764362,1.5763579215854406,full,full
6,1.3658609837293625,5,11,64,32,N1,0.6234370535239577,8,0.05500205315183848,0.08121288620168343,1.5793536845594645,full,full
