delta_variance_ff,delta_variance_norm,delta_variance_sa,depth,layer,model_seed,nuisance_distance,nuisance_type,post_ff_signal,post_ff_variance,post_norm_variance,post_sa_signal,post_sa_variance,pre_sa_signal,pre_sa_variance,predictive_span,regime,trained_window,window
-0.6001950245389054,0.9101244445825785,-5.34359500407372,6,5,23,32,N2,-7.495940461754799,71.10281922905678,77.95673370225198,-7.492998346686363,71.70301425359568,-7.810695633292198,77.0466092576694,16,signal_and_nuisance_reachable,full,8
-1.6924394024699723,1.678717939415776,-5.7426045871572455,6,0,23,32,N3,-15.968990325927734,27.485259903205588,36.59902183224858,-20.25815773010254,29.17769930567556,-22.352447748184204,34.920303892832806,16,signal_and_nuisance_reachable,full,8
-2.7598943177804465,1.5589192259910192,-22.530401634843887,6,1,23,32,N3,-5.005161881446838,2.194963950581254,29.044179129196607,-7.028786242008209,4.954858268361701,-15.968990325927734,27.485259903205588,16,signal_and_nuisance_reachable,full,8
10.614235722579068,0.1577184002804124,47.414283138341524,6,2,23,32,N3,-7.186966061592102,60.223482811501846,2.3526823508616665,-6.521435558795929,49.60924708892278,-5.005161881446838,2.194963950581254,16,signal_and_nuisance_reachable,full,8
18.73950555009617,4.303259703481068,-3.7804471222446026,6,3,23,32,N3,-7.901881158351898,75.18254123935341,64.52674251498291,-6.860953986644745,56.44303568925724,-7.186966061592102,60.223482811501846,16,signal_and_nuisance_reachable,full,8
-1.7624375201983185,-2.3430632681986765,3.6369931269161384,6,4,23,32,N3,-7.810746252536774,77.05709684607123,72.83947797115474,-7.716186463832855,78.81953436626955,-7.901881158351898,75.18254123935341,16,signal_and_nuisance_reachable,full,8
-0.600537163231806,0.9103775337889601,-5.345724142900579,6,5,23,32,N3,-7.496049761772156,71.11083553993885,77.96747437986019,-7.493114814162254,71.71137270317065,-7.810746252536774,77.05709684607123,16,signal_and_nuisance_reachable,full,8
-1.019549395011289,1.678717939415776,2.0603880670863077,6,0,23,4,N1,-15.32409642636776,35.961142564907824,36.59902183224858,-18.830736562609673,36.98069195991911,-22.352447748184204,34.920303892832806,16,full_attention,full,full
3.642062084386275,1.0803362699752128,5.1723529220840305,6,1,23,4,N1,-8.603655315935612,44.77555757137813,37.04147883488304,-11.370567962527275,41.133495486991855,-15.32409642636776,35.961142564907824,16,full_attention,full,full
1.5705617725455099,-1.0734326379305728,-3.2689039058788225,6,2,23,4,N1,1.4332686811685562,43.07721543804482,43.70212493344756,-0.4206724911928177,41.50665366549931,-8.603655315935612,44.77555757137813,16,full_attention,full,full
-3.9615146999078874,-0.9413137303266907,-32.10662856091427,6,3,23,4,N1,8.354133144021034,7.009072177222663,42.135901707718126,5.835205480456352,10.97058687713055,1.4332686811685562,43.07721543804482,16,full_attention,full,full
-1.187991567600783,0.659727329779292,-2.6068876901860136,6,4,23,4,N1,11.880687937140465,3.2141929194358663,7.668799507001955,10.80527113378048,4.402184487036649,8.354133144021034,7.009072177222663,16,full_attention,full,full
-0.5171527053322174,0.5712407999176059,-1.0062137464349528,6,5,23,4,N1,13.085480034351349,1.6908264676686962,3.785433719353472,12.551946550607681,2.2079791730009135,11.880687937140465,3.2141929194358663,16,full_attention,full,full
-0.6503882577703166,1.678717939415776,0.10977894987510695,6,0,23,4,N2,-15.304748833179474,34.379694584937596,36.59902183224858,-18.759169280529022,35.03008284270791,-22.352447748184204,34.920303892832806,16,full_attention,full,full
3.0986295653284373,1.0994075121337161,4.878010542878243,6,1,23,4,N2,-8.2092414945364,42.35633469314428,35.47910209707131,-10.92882639914751,39.25770512781584,-15.304748833179474,34.379694584937596,16,full_attention,full,full
2.7694378709088383,-1.321964775906089,-4.908871274039257,6,2,23,4,N2,1.5643170177936554,40.21690129001386,41.03436991723819,-0.11821097135543823,37.44746341910502,-8.2092414945364,42.35633469314428,16,full_attention,full,full
-3.9181183318520034,-1.1184786290978366,-29.948747422230795,6,3,23,4,N2,8.391434475779533,6.350035535931061,39.09842266091602,6.028446018695831,10.268153867783065,1.5643170177936554,40.21690129001386,16,full_attention,full,full
-1.5131348888111567,0.6453337941536859,-2.2433954978553414,6,4,23,4,N2,11.877955630421638,2.5935051492645633,6.995369330084747,10.80986438691616,4.10664003807572,8.391434475779533,6.350035535931061,16,full_attention,full,full
-0.5934030459214208,0.531134424972195,-0.7699197570779708,6,5,23,4,N2,13.128857418894768,1.2301823462651718,3.1246395742367583,12.628045946359634,1.8235853921865925,11.877955630421638,2.5935051492645633,16,full_attention,full,full
-0.5842550423717725,1.678717939415776,0.8231104618330178,6,0,23,4,N3,-15.33389063179493,35.15915931229405,36.59902183224858,-18.815857082605362,35.74341435466582,-22.352447748184204,34.920303892832806,16,full_attention,full,full
4.146003466781458,1.1576615674074873,6.882310180107808,6,1,23,4,N3,-8.697503373026848,46.18747295918332,36.31682087970154,-11.432498134672642,42.04146949240186,-15.33389063179493,35.15915931229405,16,full_attention,full,full
2.0578299281810004,-1.2616789289981512,-6.0234074665167086,6,2,23,4,N3,1.2729922086000443,42.22189542084761,44.925794030185166,-0.5321135446429253,40.16406549266661,-8.697503373026848,46.18747295918332,16,full_attention,full,full
-4.020543280558607,-0.9233426395721978,-31.835031413932175,6,3,23,4,N3,8.298878014087677,6.366320726356827,41.29855278127541,5.81773217022419,10.386864006915435,1.2729922086000443,42.22189542084761,16,full_attention,full,full
-1.2556127371250434,0.6221292812861847,-2.0089101042190585,6,4,23,4,N3,11.78423772752285,3.1017978850127252,6.988450007643012,10.68811622262001,4.357410622137769,8.298878014087677,6.366320726356827,16,full_attention,full,full
-0.6960827068412994,0.6094505896394655,-1.0073607689386406,6,5,23,4,N3,13.105679705739021,1.3983544092327853,3.7112484746521908,12.544516161084175,2.0944371160740847,11.78423772752285,3.1017978850127252,16,full_attention,full,full
-1.3483491649384973,1.678717939415776,1.6110772764018293,6,0,23,4,N1,-16.577463626861572,35.18303200429614,36.59902183224858,-21.093228578567505,36.531381169234635,-22.352447748184204,34.920303892832806,16,nuisance_reachable_before_full_signal,full,1
-5.178627993812597,1.4717021976066462,-16.730687008990117,6,1,23,4,N1,-8.226865768432617,13.273717001493424,36.654734201902784,-10.525171756744385,18.45234499530602,-16.577463626861572,35.18303200429614,16,nuisance_reachable_before_full_signal,full,1
-1.044075763994183,1.400719784465025,4.633492657779804,6,2,23,4,N1,-6.333685144782066,16.863133895279045,14.674436785958449,-7.704294428229332,17.907209659273228,-8.226865768432617,13.273717001493424,16,nuisance_reachable_before_full_signal,full,1
4.582666686713214,0.8585470826312545,-2.9320711661216627,6,3,23,4,N1,-3.8713313192129135,18.513729415870596,17.7216809779103,-4.9186552837491035,13.931062729157382,-6.333685144782066,16.863133895279045,16,nuisance_reachable_before_full_signal,full,1
3.148565095035405,-3.610503480144029,5.5085776943653855,6,4,23,4,N1,-4.112588234245777,27.170872205271387,14.903225935726567,-4.116751924157143,24.02230711023598,-3.8713313192129135,18.513729415870596,16,nuisance_reachable_before_full_signal,full,1
4.327506104014713,-0.3106083902392598,-0.5410891205841217,6,5,23,4,N1,-3.9932244196534157,30.957289188701978,26.860263815032127,-4.169088326394558,26.629783084687265,-4.112588234245777,27.170872205271387,16,nuisance_reachable_before_full_signal,full,1
