axis,cell_id,dependency_span,example_index,family_id,final_margin,final_rank,first_top1_layer,first_top1_location,first_top1_stage,generator_family,head_count,model_depth,model_seed,model_width,nuisance_count,parameter_count,predictive_order,raw_length,requested_dependency_span,stable_top1_layer,stable_top1_location,stable_top1_stage,top1_correct,training_budget,training_steps
predictive_order,2368e64e6ae0,4,69,"p3:(3, 2, 3):5",-0.3808784484863281,4,,,,necessary_pattern,4,2,11,64,0,85504,3,12,4,,,,0,1,400
predictive_order,2368e64e6ae0,4,70,"p3:(0, 0, 0):6",-0.3760089874267578,4,,,,necessary_pattern,4,2,11,64,0,85504,3,12,4,,,,0,1,400
predictive_order,2368e64e6ae0,4,71,"p3:(0, 1, 3):7",-0.3756875991821289,4,,,,necessary_pattern,4,2,11,64,0,85504,3,12,4,,,,0,1,400
predictive_order,2368e64e6ae0,4,72,"p3:(1, 3, 1):8",0.09539413452148438,1,1,post_ff,2,necessary_pattern,4,2,11,64,0,85504,3,12,4,1,post_ff,2,1,1,400
predictive_order,2368e64e6ae0,4,73,"p3:(3, 3, 0):9",-0.044655799865722656,3,,,,necessary_pattern,4,2,11,64,0,85504,3,12,4,,,,0,1,400
predictive_order,2368e64e6ae0,4,74,"p3:(2, 3, 1):10",-0.044757843017578125,3,,,,necessary_pattern,4,2,11,64,0,85504,3,12,4,,,,0,1,400
predictive_order,2368e64e6ae0,4,75,"p3:(3, 1, 3):11",0.00580596923828125,1,2,post_ff,4,necessary_pattern,4,2,11,64,0,85504,3,12,4,2,post_ff,4,1,1,400
predictive_order,2368e64e6ae0,4,76,"p3:(0, 2, 0):12",-0.04677009582519531,3,,,,necessary_pattern,4,2,11,64,0,85504,3,12,4,,,,0,1,400
predictive_order,2368e64e6ae0,4,77,"p3:(2, 2, 3):13",0.005730628967285156,1,2,post_ff,4,necessary_pattern,4,2,11,64,0,85504,3,12,4,2,post_ff,4,1,1,400
predictive_order,2368e64e6ae0,4,78,"p3:(0, 0, 3):14",0.005190849304199219,1,2,post_ff,4,necessary_pattern,4,2,11,64,0,85504,3,12,4,2,post_ff,4,1,1,400
predictive_order,2368e64e6ae0,4,79,"p3:(3, 2, 1):15",-0.05014228820800781,3,,,,necessary_pattern,4,2,11,64,0,85504,3,12,4,,,,0,1,400
predictive_order,2368e64e6ae0,4,80,"p3:(3, 0, 0):0",0.007039070129394531,1,2,post_ff,4,necessary_pattern,4,2,11,64,0,85504,3,12,4,2,post_ff,4,1,1,400
predictive_order,2368e64e6ae0,4,81,"p3:(0, 2, 1):1",0.008441925048828125,1,2,post_ff,4,necessary_pattern,4,2,11,64,0,85504,3,12,4,2,post_ff,4,1,1,400
predictive_order,2368e64e6ae0,4,82,"p3:(1, 2, 3):2",-0.3286447525024414,3,,,,necessary_pattern,4,2,11,64,0,85504,3,12,4,,,,0,1,400
predictive_order,2368e64e6ae0,4,83,"p3:(1, 2, 1):3",-0.5843563079833984,4,,,,necessary_pattern,4,2,11,64,0,85504,3,12,4,,,,0,1,400
predictive_order,2368e64e6ae0,4,84,"p3:(3, 3, 0):4",-0.044655799865722656,3,,,,necessary_pattern,4,2,11,64,0,85504,3,12,4,,,,0,1,400
predictive_order,2368e64e6ae0,4,85,"p3:(1, 1, 2):5",-0.584538459777832,4,,,,necessary_pattern,4,2,11,64,0,85504,3,12,4,,,,0,1,400
predictive_order,2368e64e6ae0,4,86,"p3:(3, 1, 1):6",-0.0076007843017578125,2,1,post_ff,2,necessary_pattern,4,2,11,64,0,85504,3,12,4,,,,0,1,400
predictive_order,2368e64e6ae0,4,87,"p3:(3, 0, 3):7",-0.045352935791015625,3,,,,necessary_pattern,4,2,11,64,0,85504,3,12,4,,,,0,1,400
predictive_order,2368e64e6ae0,4,88,"p3:(3, 2, 3):8",-0.3808784484863281,4,,,,necessary_pattern,4,2,11,64,0,85504,3,12,4,,,,0,1,400
predictive_order,2368e64e6ae0,4,89,"p3:(2, 2, 3):9",0.005730628967285156,1,2,post_ff,4,necessary_pattern,4,2,11,64,0,85504,3,12,4,2,post_ff,4,1,1,400
predictive_order,2368e64e6ae0,4,90,"p3:(2, 0, 3):10",-0.004306793212890625,2,1,post_ff,2,necessary_pattern,4,2,11,64,0,85504,3,12,4,,,,0,1,400
predictive_order,2368e64e6ae0,4,91,"p3:(3, 2, 1):11",-0.05014228820800781,3,,,,necessary_pattern,4,2,11,64,0,85504,3,12,4,,,,0,1,400
predictive_order,2368e64e6ae0,4,92,"p3:(1, 1, 1):12",-0.09560298919677734,2,,,,necessary_pattern,4,2,11,64,0,85504,3,12,4,,,,0,1,400
predictive_order,2368e64e6ae0,4,93,"p3:(2, 3, 3):13",-0.3764801025390625,4,,,,necessary_pattern,4,2,11,64,0,85504,3,12,4,,,,0,1,400
predictive_order,2368e64e6ae0,4,94,"p3:(1, 2, 2):14",0.09525680541992188,1,1,post_ff,2,necessary_pattern,4,2,11,64,0,85504,3,12,4,1,post_ff,2,1,1,400
predictive_order,2368e64e6ae0,4,95,"p3:(0, 1, 1):15",-0.044440269470214844,3,,,,necessary_pattern,4,2,11,64,0,85504,3,12,4,,,,0,1,400
predictive_order,ecae3be4326f,4,96,"p4:(2, 3, 2, 3):0",-0.04471397399902344,3,,,,necessary_pattern,4,2,11,64,0,85504,4,12,4,,,,0,1,400
predictive_order,ecae3be4326f,4,97,"p4:(0, 0, 2, 0):1",-0.045246124267578125,3,,,,necessary_pattern,4,2,11,64,0,85504,4,12,4,,,,0,1,400
predictive_order,ecae3be4326f,4,98,"p4:(2, 3, 3, 3):2",0.0066814422607421875,1,2,post_ff,4,necessary_pattern,4,2,11,64,0,85504,4,12,4,2,post_ff,4,1,1,400
predictive_order,ecae3be4326f,4,99,"p4:(0, 1, 2, 3):3",-0.04437732696533203,3,,,,necessary_pattern,4,2,11,64,0,85504,4,12,4,,,,0,1,400
predictive_order,ecae3be4326f,4,100,"p4:(1, 3, 3, 2):4",0.09496784210205078,1,1,post_ff,2,necessary_pattern,4,2,11,64,0,85504,4,12,4,1,post_ff,2,1,1,400
predictive_order,ecae3be4326f,4,101,"p4:(2, 2, 1, 3):5",-0.38482666015625,4,,,,necessary_pattern,4,2,11,64,0,85504,4,12,4,,,,0,1,400
predictive_order,ecae3be4326f,4,102,"p4:(2, 1, 3, 2):6",-0.37994861602783203,4,,,,necessary_pattern,4,2,11,64,0,85504,4,12,4,,,,0,1,400
predictive_order,ecae3be4326f,4,103,"p4:(3, 1, 2, 1):7",0.009068489074707031,1,2,post_ff,4,necessary_pattern,4,2,11,64,0,85504,4,12,4,2,post_ff,4,1,1,400
predictive_order,ecae3be4326f,4,104,"p4:(2, 0, 1, 0):8",0.009743690490722656,1,2,post_ff,4,necessary_pattern,4,2,11,64,0,85504,4,12,4,2,post_ff,4,1,1,400
predictive_order,ecae3be4326f,4,105,"p4:(0, 3, 2, 0):9",-0.008192062377929688,2,1,post_ff,2,necessary_pattern,4,2,11,64,0,85504,4,12,4,,,,0,1,400
predictive_order,ecae3be4326f,4,106,"p4:(1, 0, 3, 3):10",-0.09462547302246094,2,,,,necessary_pattern,4,2,11,64,0,85504,4,12,4,,,,0,1,400
predictive_order,ecae3be4326f,4,107,"p4:(3, 3, 3, 3):11",-0.3816385269165039,4,,,,necessary_pattern,4,2,11,64,0,85504,4,12,4,,,,0,1,400
predictive_order,ecae3be4326f,4,108,"p4:(3, 0, 3, 3):12",-0.008543014526367188,2,1,post_ff,2,necessary_pattern,4,2,11,64,0,85504,4,12,4,,,,0,1,400
predictive_order,ecae3be4326f,4,109,"p4:(0, 2, 2, 2):13",-0.04980659484863281,3,,,,necessary_pattern,4,2,11,64,0,85504,4,12,4,,,,0,1,400
predictive_order,ecae3be4326f,4,110,"p4:(2, 1, 0, 3):14",-0.04384899139404297,3,,,,necessary_pattern,4,2,11,64,0,85504,4,12,4,,,,0,1,400
predictive_order,ecae3be4326f,4,111,"p4:(0, 3, 2, 2):15",0.0083465576171875,1,2,post_ff,4,necessary_pattern,4,2,11,64,0,85504,4,12,4,2,post_ff,4,1,1,400
predictive_order,ecae3be4326f,4,112,"p4:(3, 0, 1, 0):0",-0.3841590881347656,4,,,,necessary_pattern,4,2,11,64,0,85504,4,12,4,,,,0,1,400
predictive_order,ecae3be4326f,4,113,"p4:(2, 1, 2, 0):1",-0.007124900817871094,2,1,post_ff,2,necessary_pattern,4,2,11,64,0,85504,4,12,4,,,,0,1,400
predictive_order,ecae3be4326f,4,114,"p4:(1, 2, 0, 2):2",0.09169769287109375,1,1,post_ff,2,necessary_pattern,4,2,11,64,0,85504,4,12,4,1,post_ff,2,1,1,400
predictive_order,ecae3be4326f,4,115,"p4:(1, 3, 0, 0):3",-0.5845117568969727,4,,,,necessary_pattern,4,2,11,64,0,85504,4,12,4,,,,0,1,400
predictive_order,ecae3be4326f,4,116,"p4:(0, 3, 2, 3):4",-0.3789405822753906,4,,,,necessary_pattern,4,2,11,64,0,85504,4,12,4,,,,0,1,400
predictive_order,ecae3be4326f,4,117,"p4:(1, 3, 3, 1):5",-0.5883340835571289,4,,,,necessary_pattern,4,2,11,64,0,85504,4,12,4,,,,0,1,400
predictive_order,ecae3be4326f,4,118,"p4:(2, 1, 1, 3):6",0.009828567504882812,1,2,post_ff,4,necessary_pattern,4,2,11,64,0,85504,4,12,4,2,post_ff,4,1,1,400
