architecture_id,head_count,model_depth,model_seed,model_width,parameter_count,training_budget,training_steps
L16-W64-H4-T1,4,16,11,64,554112,1,400
L16-W64-H4-T2,4,16,11,64,554112,2,800
L16-W64-H4-T4,4,16,11,64,554112,4,1600
L16-W64-H8-T1,8,16,11,64,554112,1,400
L16-W64-H8-T2,8,16,11,64,554112,2,800
L16-W64-H8-T4,8,16,11,64,554112,4,1600
L16-W128-H1-T1,1,16,11,128,2156800,1,400
L16-W128-H1-T2,1,16,11,128,2156800,2,800
L16-W128-H1-T4,1,16,11,128,2156800,4,1600
L16-W128-H2-T1,2,16,11,128,2156800,1,400
L16-W128-H2-T2,2,16,11,128,2156800,2,800
L16-W128-H2-T4,2,16,11,128,2156800,4,1600
L16-W128-H4-T1,4,16,11,128,2156800,1,400
L16-W128-H4-T2,4,16,11,128,2156800,2,800
L16-W128-H4-T4,4,16,11,128,2156800,4,1600
L16-W128-H8-T1,8,16,11,128,2156800,1,400
L16-W128-H8-T2,8,16,11,128,2156800,2,800
L16-W128-H8-T4,8,16,11,128,2156800,4,1600
L16-W256-H1-T1,1,16,11,256,8507904,1,400
L16-W256-H1-T2,1,16,11,256,8507904,2,800
L16-W256-H1-T4,1,16,11,256,8507904,4,1600
L16-W256-H2-T1,2,16,11,256,8507904,1,400
L16-W256-H2-T2,2,16,11,256,8507904,2,800
L16-W256-H2-T4,2,16,11,256,8507904,4,1600
L16-W256-H4-T1,4,16,11,256,8507904,1,400
L16-W256-H4-T2,4,16,11,256,8507904,2,800
L16-W256-H4-T4,4,16,11,256,8507904,4,1600
L16-W256-H8-T1,8,16,11,256,8507904,1,400
L16-W256-H8-T2,8,16,11,256,8507904,2,800
L16-W256-H8-T4,8,16,11,256,8507904,4,1600
L24-W32-H1-T1,1,24,11,32,214336,1,400
L24-W32-H1-T2,1,24,11,32,214336,2,800
L24-W32-H1-T4,1,24,11,32,214336,4,1600
L24-W32-H2-T1,2,24,11,32,214336,1,400
L24-W32-H2-T2,2,24,11,32,214336,2,800
L24-W32-H2-T4,2,24,11,32,214336,4,1600
L24-W32-H4-T1,4,24,11,32,214336,1,400
L24-W32-H4-T2,4,24,11,32,214336,2,800
L24-W32-H4-T4,4,24,11,32,214336,4,1600
L24-W32-H8-T1,8,24,11,32,214336,1,400
L24-W32-H8-T2,8,24,11,32,214336,2,800
L24-W32-H8-T4,8,24,11,32,214336,4,1600
L24-W64-H1-T1,1,24,11,64,821888,1,400
L24-W64-H1-T2,1,24,11,64,821888,2,800
L24-W64-H1-T4,1,24,11,64,821888,4,1600
L24-W64-H2-T1,2,24,11,64,821888,1,400
L24-W64-H2-T2,2,24,11,64,821888,2,800
L24-W64-H2-T4,2,24,11,64,821888,4,1600
L24-W64-H4-T1,4,24,11,64,821888,1,400
L24-W64-H4-T2,4,24,11,64,821888,2,800
L24-W64-H4-T4,4,24,11,64,821888,4,1600
L24-W64-H8-T1,8,24,11,64,821888,1,400
L24-W64-H8-T2,8,24,11,64,821888,2,800
L24-W64-H8-T4,8,24,11,64,821888,4,1600
L24-W128-H1-T1,1,24,11,128,3216640,1,400
L24-W128-H1-T2,1,24,11,128,3216640,2,800
L24-W128-H1-T4,1,24,11,128,3216640,4,1600
L24-W128-H2-T1,2,24,11,128,3216640,1,400
L24-W128-H2-T2,2,24,11,128,3216640,2,800
L24-W128-H2-T4,2,24,11,128,3216640,4,1600
