candidate,cell_id,condition,episodes,example_id,family,heads,layers,mappings,margin,minimality_axis,mlp_ratio,pairs,probability,rank,regime,seed,target,top1,vocabulary,width
reference,C2_sa_ff_L2_W32_H2_S11,shuffled_order,256,22,sa_ff,2,2,fresh-random,11.078701972961426,reference,2,3,0.9999845027923584,1,C2,11,6,1,4,32
reference,C2_sa_ff_L2_W32_H2_S11,wrong_query,256,22,sa_ff,2,2,fresh-random,-14.9703950881958,reference,2,3,3.150912561977748e-07,3,C2,11,6,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,correct,256,23,sa_ff,2,2,fresh-random,12.014039993286133,reference,2,3,0.9999935626983643,1,C2,11,6,1,4,32
reference,C2_sa_ff_L2_W32_H2_S11,none,256,23,sa_ff,2,2,fresh-random,-18.77121353149414,reference,2,3,7.043123861905087e-09,3,C2,11,6,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,shuffled_pairings,256,23,sa_ff,2,2,fresh-random,10.321989059448242,reference,2,3,0.9999433755874634,1,C2,11,6,1,4,32
reference,C2_sa_ff_L2_W32_H2_S11,shuffled_order,256,23,sa_ff,2,2,fresh-random,12.014039993286133,reference,2,3,0.9999935626983643,1,C2,11,6,1,4,32
reference,C2_sa_ff_L2_W32_H2_S11,wrong_query,256,23,sa_ff,2,2,fresh-random,-8.437747955322266,reference,2,3,0.00021648951224051416,2,C2,11,6,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,correct,256,24,sa_ff,2,2,fresh-random,0.07944965362548828,reference,2,3,0.5198439359664917,1,C2,11,3,1,4,32
reference,C2_sa_ff_L2_W32_H2_S11,none,256,24,sa_ff,2,2,fresh-random,-0.022057533264160156,reference,2,3,0.4766741096973419,2,C2,11,3,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,shuffled_pairings,256,24,sa_ff,2,2,fresh-random,-19.86969566345215,reference,2,3,2.348015115671842e-09,3,C2,11,3,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,shuffled_order,256,24,sa_ff,2,2,fresh-random,0.07944965362548828,reference,2,3,0.5198439359664917,1,C2,11,3,1,4,32
reference,C2_sa_ff_L2_W32_H2_S11,wrong_query,256,24,sa_ff,2,2,fresh-random,-19.011585235595703,reference,2,3,5.5382582964114135e-09,6,C2,11,3,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,correct,256,25,sa_ff,2,2,fresh-random,-7.705602169036865,reference,2,3,0.0004444085934665054,3,C2,11,4,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,none,256,25,sa_ff,2,2,fresh-random,-25.07192039489746,reference,2,3,1.2924184292217866e-11,7,C2,11,4,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,shuffled_pairings,256,25,sa_ff,2,2,fresh-random,-4.320494651794434,reference,2,3,0.012944445945322514,2,C2,11,4,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,shuffled_order,256,25,sa_ff,2,2,fresh-random,17.916831970214844,reference,2,3,1.0,1,C2,11,4,1,4,32
reference,C2_sa_ff_L2_W32_H2_S11,wrong_query,256,25,sa_ff,2,2,fresh-random,-7.159786224365234,reference,2,3,0.0007766062626615167,2,C2,11,4,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,correct,256,26,sa_ff,2,2,fresh-random,11.613666534423828,reference,2,3,0.9999908208847046,1,C2,11,4,1,4,32
reference,C2_sa_ff_L2_W32_H2_S11,none,256,26,sa_ff,2,2,fresh-random,-7.708114147186279,reference,2,3,0.00021888180344831198,5,C2,11,4,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,shuffled_pairings,256,26,sa_ff,2,2,fresh-random,-12.30836009979248,reference,2,3,4.513829480856657e-06,2,C2,11,4,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,shuffled_order,256,26,sa_ff,2,2,fresh-random,10.928788185119629,reference,2,3,0.9999761581420898,1,C2,11,4,1,4,32
reference,C2_sa_ff_L2_W32_H2_S11,wrong_query,256,26,sa_ff,2,2,fresh-random,-17.867507934570312,reference,2,3,1.738760779801396e-08,3,C2,11,4,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,correct,256,27,sa_ff,2,2,fresh-random,10.62236499786377,reference,2,3,0.9999750852584839,1,C2,11,3,1,4,32
reference,C2_sa_ff_L2_W32_H2_S11,none,256,27,sa_ff,2,2,fresh-random,1.9304132461547852,reference,2,3,0.8732946515083313,1,C2,11,3,1,4,32
reference,C2_sa_ff_L2_W32_H2_S11,shuffled_pairings,256,27,sa_ff,2,2,fresh-random,-4.243218421936035,reference,2,3,0.014120410196483135,2,C2,11,3,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,shuffled_order,256,27,sa_ff,2,2,fresh-random,10.62236499786377,reference,2,3,0.9999750852584839,1,C2,11,3,1,4,32
reference,C2_sa_ff_L2_W32_H2_S11,wrong_query,256,27,sa_ff,2,2,fresh-random,-16.91478729248047,reference,2,3,4.508137507741594e-08,5,C2,11,3,0,4,32
