R_between_within,between_family_JS_bits,boundary,covariance_trace,effective_rank,generator_family,model_seed,n,nuisance_count,nuisance_type,within_family_JS_bits
15.081830832402954,1.7789416098994293,layer_1_sa,214.4516465546613,3.420018813747155,balanced_pair,37,128,4,N3,1.9031842026012837
15.493620171012637,1.7987042333597754,layer_1_sa,220.08960150690825,3.3182136623873166,balanced_pair,37,128,2,N4,1.9060925898604335
15.895945660020919,1.780324604691085,layer_1_sa,217.47014000468516,3.3474350259105834,balanced_pair,37,128,4,N4,1.8858279513056306
17.674822719468864,1.7916891558342778,layer_1_ff,272.9593497002906,3.1540691734562993,balanced_pair,37,128,0,N0,1.8854158698810046
12.965094582864946,1.8064027470898694,layer_1_ff,260.59085158550073,3.2634598143129168,balanced_pair,37,128,2,N2,1.8959107327529279
12.805895324812965,1.764949441022279,layer_1_ff,253.9954756114991,3.286865482771332,balanced_pair,37,128,4,N2,1.9118587298884915
15.154807884448859,1.8360254700095804,layer_1_ff,266.0395004241169,3.251557921364054,balanced_pair,37,128,2,N3,1.9159929949280512
15.47801011281511,1.8143425389402121,layer_1_ff,257.5708745480647,3.2760791294295126,balanced_pair,37,128,4,N3,1.9160193928584008
15.6486405834303,1.8450086902139218,layer_1_ff,265.46353043636606,3.1803191377523525,balanced_pair,37,128,2,N4,1.940066586523744
16.012014849631473,1.8076221524064202,layer_1_ff,261.9262506394245,3.2207884493635075,balanced_pair,37,128,4,N4,1.8881081875976897
11.206967617286566,1.9113349606324728,layer_2_sa,260.8094589222997,3.5580673748131786,balanced_pair,37,128,0,N0,2.0365033654855287
9.356319925635855,2.0025835121886297,layer_2_sa,248.78336729045944,3.73682584697099,balanced_pair,37,128,2,N2,2.0753243348129162
8.75157621213337,1.8661544616987633,layer_2_sa,240.17463394122953,3.848142057002518,balanced_pair,37,128,4,N2,2.03043102222015
10.466975706429693,1.9393252840312982,layer_2_sa,254.08444526540956,3.6682624273890814,balanced_pair,37,128,2,N3,2.0489427680969414
10.736424453623972,1.9631437790956219,layer_2_sa,242.76240521866913,3.7619594709073763,balanced_pair,37,128,4,N3,2.069957930928937
10.827184562003406,1.931370385270514,layer_2_sa,253.10376849102067,3.614921667088797,balanced_pair,37,128,2,N4,2.043257577194525
11.176884438018813,1.996308126240948,layer_2_sa,245.97636126551345,3.661413985544652,balanced_pair,37,128,4,N4,2.0784741742701476
12.645213934145987,1.939494774573131,layer_2_ff,367.2808742218431,3.45276658881073,balanced_pair,37,128,0,N0,1.9588289726328783
10.601281789620053,1.9604207444370676,layer_2_ff,346.2250198128871,3.607631189871563,balanced_pair,37,128,2,N2,1.9784285005348918
9.251101933227213,1.923051908736562,layer_2_ff,334.2139720355647,3.700946596346852,balanced_pair,37,128,4,N2,1.9761087920602125
11.98275170185363,1.9764845939011382,layer_2_ff,356.3716792793141,3.5456961628342825,balanced_pair,37,128,2,N3,1.9830626138188294
12.038908839165495,1.970197618928651,layer_2_ff,339.7619268379002,3.5840662319187984,balanced_pair,37,128,4,N3,1.9802021248265111
12.24876023193156,1.9603833197381348,layer_2_ff,354.6999869953925,3.4993293102690823,balanced_pair,37,128,2,N4,1.9732720601068365
12.199023774835393,1.9555610348610248,layer_2_ff,343.3839500162138,3.528245076337921,balanced_pair,37,128,4,N4,1.9830384908494967
8.731630585967709,1.9944604521003848,layer_3_sa,281.8825806576474,4.476436397687372,balanced_pair,37,128,0,N0,1.9997769756110277
6.987342034624807,1.9997069284196944,layer_3_sa,268.74469230854686,4.763196435789546,balanced_pair,37,128,2,N2,2.0053806568935553
6.3999755409130215,1.932115832972066,layer_3_sa,261.62493609710185,5.00908840475041,balanced_pair,37,128,4,N2,2.001517950040076
8.145598928433582,2.0104465153084283,layer_3_sa,277.524071628491,4.655444330841602,balanced_pair,37,128,2,N3,2.034410607063381
