direction,horizon,margin_absolute_error,model_seed,observed_margin_delta,pair_id,predicted_margin_delta
nuisance,4,23.24040412902832,23,2.1580886840820312,s23_nuisance_17,-21.08231544494629
signal,1,1.4640268385410309,23,1.4611167907714844,s23_signal_18,-0.002910047769546509
signal,2,12.931917190551758,23,-11.570531845092773,s23_signal_18,1.3613853454589844
signal,4,8.306934356689453,23,-24.412965774536133,s23_signal_18,-16.10603141784668
signal,1,2.2559738159179688,23,-1.1222028732299805,s23_signal_19,-3.378176689147949
signal,2,10.096893310546875,23,-14.564547538757324,s23_signal_19,-4.467654228210449
signal,4,40.90980625152588,23,-36.72993469238281,s23_signal_19,4.179871559143066
nuisance,1,0.25367462635040283,23,1.3065357208251953,s23_nuisance_20,1.5602103471755981
nuisance,2,6.334044724702835,23,6.431845664978027,s23_nuisance_20,0.09780094027519226
nuisance,4,3.988473892211914,23,0.2598381042480469,s23_nuisance_20,-3.728635787963867
signal,1,0.6226307153701782,23,1.2211132049560547,s23_signal_21,0.5984824895858765
signal,2,6.283842325210571,23,-4.638535499572754,s23_signal_21,1.6453068256378174
signal,4,31.32479476928711,23,-34.90052032470703,s23_signal_21,-3.575725555419922
nuisance,1,1.4967823028564453,23,1.3952999114990234,s23_nuisance_22,2.8920822143554688
nuisance,2,17.332270622253418,23,4.66390323638916,s23_nuisance_22,-12.668367385864258
nuisance,4,5.132908821105957,23,-5.025408744812012,s23_nuisance_22,-10.158317565917969
signal,1,0.5044906139373779,23,-0.9421768188476562,s23_signal_23,-1.4466674327850342
signal,2,11.09835147857666,23,0.6743412017822266,s23_signal_23,-10.424010276794434
signal,4,23.940567016601562,23,-31.707761764526367,s23_signal_23,-7.767194747924805
nuisance,1,0.603818416595459,23,0.9883565902709961,s23_nuisance_24,1.592175006866455
nuisance,2,2.779179096221924,23,3.5079216957092285,s23_nuisance_24,0.7287425994873047
nuisance,4,1.8472269773483276,23,-0.3257865905761719,s23_nuisance_24,1.5214403867721558
nuisance,1,1.0171244740486145,23,-0.2274799346923828,s23_nuisance_25,0.7896445393562317
nuisance,2,3.488679885864258,23,-2.354032516479492,s23_nuisance_25,-5.84271240234375
nuisance,4,5.6144890785217285,23,-0.45945262908935547,s23_nuisance_25,-6.073941707611084
nuisance,1,2.830111503601074,23,-1.419342041015625,s23_nuisance_26,1.4107694625854492
nuisance,2,6.682147741317749,23,-7.893976211547852,s23_nuisance_26,-1.2118284702301025
nuisance,4,0.8284782767295837,23,-1.2713956832885742,s23_nuisance_26,-0.4429174065589905
nuisance,1,1.02126944065094,23,2.2053871154785156,s23_nuisance_27,1.1841176748275757
nuisance,2,1.307441234588623,23,2.6186628341674805,s23_nuisance_27,3.9261040687561035
nuisance,4,0.25047969818115234,23,-2.3265323638916016,s23_nuisance_27,-2.076052665710449
signal,1,0.0695929154753685,23,-0.011994361877441406,s23_signal_28,0.057598553597927094
signal,2,3.5157120525836945,23,-3.0173988342285156,s23_signal_28,0.49831321835517883
signal,4,32.347450256347656,23,-33.211181640625,s23_signal_28,-0.8637313842773438
nuisance,1,0.31179675459861755,23,0.047661781311035156,s23_nuisance_29,0.3594585359096527
nuisance,2,0.25978586077690125,23,-0.3672761917114258,s23_nuisance_29,-0.10749033093452454
nuisance,4,1.244971215724945,23,-0.8388853073120117,s23_nuisance_29,0.40608590841293335
nuisance,1,0.40614354610443115,23,1.537337303161621,s23_nuisance_30,1.9434808492660522
nuisance,2,2.475475311279297,23,-4.665732383728027,s23_nuisance_30,-2.1902570724487305
nuisance,4,85.62894248962402,23,-0.4026317596435547,s23_nuisance_30,85.22631072998047
nuisance,1,6.41901969909668,23,-1.4125003814697266,s23_nuisance_31,5.006519317626953
nuisance,2,4.995734214782715,23,-3.8298072814941406,s23_nuisance_31,-8.825541496276855
nuisance,4,8.02363634109497,23,-6.42093563079834,s23_nuisance_31,1.6027007102966309
nuisance,1,1.1556479930877686,37,0.3005390167236328,s37_nuisance_0,-0.8551089763641357
nuisance,2,5.388173580169678,37,-2.53867244720459,s37_nuisance_0,2.849501132965088
nuisance,4,1.2961746454238892,37,2.9919538497924805,s37_nuisance_0,1.6957792043685913
nuisance,1,1.224416971206665,37,-3.1151304244995117,s37_nuisance_1,-1.8907134532928467
nuisance,2,4.3838419914245605,37,-2.361297130584717,s37_nuisance_1,-6.745139122009277
nuisance,4,8.745924353599548,37,-8.71308708190918,s37_nuisance_1,0.03283727169036865
signal,1,0.603057861328125,37,-7.739024639129639,s37_signal_2,-7.135966777801514
signal,2,33.0628776550293,37,-26.29068374633789,s37_signal_2,6.772193908691406
signal,4,32.01850891113281,37,-29.350919723510742,s37_signal_2,2.6675891876220703
signal,1,0.2731790542602539,37,-6.208407402038574,s37_signal_3,-5.93522834777832
signal,2,26.009599208831787,37,-23.19597625732422,s37_signal_3,2.8136229515075684
signal,4,34.07601618766785,37,-30.346546173095703,s37_signal_3,3.7294700145721436
nuisance,1,3.5780725479125977,37,3.7178516387939453,s37_nuisance_4,0.13977909088134766
nuisance,2,6.028878211975098,37,-0.7853708267211914,s37_nuisance_4,5.243507385253906
nuisance,4,16.282187461853027,37,4.661925315856934,s37_nuisance_4,-11.620262145996094
signal,1,8.252545356750488,37,-6.7167534828186035,s37_signal_5,1.5357918739318848
signal,2,5.318519592285156,37,-20.59846305847168,s37_signal_5,-25.916982650756836
signal,4,52.44386291503906,37,-29.912418365478516,s37_signal_5,22.531444549560547
signal,1,0.17157363891601562,37,-0.20456504821777344,s37_signal_6,-0.37613868713378906
signal,2,18.16393733024597,37,-21.35568618774414,s37_signal_6,-3.191748857498169
signal,4,34.108760356903076,37,-31.363014221191406,s37_signal_6,2.74574613571167
nuisance,1,0.8661160469055176,37,-0.5948429107666016,s37_nuisance_7,0.271273136138916
nuisance,2,0.7047162055969238,37,1.3959569931030273,s37_nuisance_7,0.6912407875061035
nuisance,4,1.6741721630096436,37,-1.9720993041992188,s37_nuisance_7,-0.2979271411895752
signal,1,0.38152146339416504,37,-0.7877588272094727,s37_signal_8,-0.4062373638153076
signal,2,21.613445788621902,37,-21.944751739501953,s37_signal_8,-0.33130595088005066
signal,4,21.62490463256836,37,-28.55707550048828,s37_signal_8,-6.932170867919922
nuisance,1,0.31082451343536377,37,1.5473384857177734,s37_nuisance_9,1.8581629991531372
nuisance,2,3.9674410820007324,37,0.882725715637207,s37_nuisance_9,4.8501667976379395
nuisance,4,0.736480712890625,37,2.045210838317871,s37_nuisance_9,1.308730125427246
