condition,example_id,family,heads,icl_gain,layers,margin,model_seed,probability,rank,stage,target,top1,width
reversed,38,4,2,,2,-0.09656238555908203,11,0.3496926426887512,2,D0,6,0,32
none,39,4,2,,2,-26.218950271606445,11,2.8699210976451672e-12,126,D0,6,0,32
correct,39,4,2,26.6820125579834,2,0.4630622863769531,11,0.5758705735206604,1,D0,6,1,32
shuffled,39,4,2,,2,-0.3089580535888672,11,0.3792254626750946,2,D0,6,0,32
wrong_chain,39,4,2,,2,-6.111757278442383,11,0.0020984874572604895,3,D0,6,0,32
irrelevant,39,4,2,,2,-2.4855308532714844,11,0.07254327833652496,2,D0,6,0,32
reversed,39,4,2,,2,-0.3089580535888672,11,0.3792254626750946,2,D0,6,0,32
none,40,5,2,,2,-1.128098487854004,11,0.19975823163986206,2,D0,6,0,32
correct,40,5,2,3.0839147567749023,2,1.9558162689208984,11,0.8459288477897644,1,D0,6,1,32
shuffled,40,5,2,,2,6.815422058105469,11,0.9977816939353943,1,D0,6,1,32
wrong_chain,40,5,2,,2,-4.217706680297852,11,0.012206497602164745,3,D0,6,0,32
irrelevant,40,5,2,,2,-4.811485290527344,11,0.005341335665434599,3,D0,6,0,32
reversed,40,5,2,,2,6.815422058105469,11,0.9977816939353943,1,D0,6,1,32
none,41,5,2,,2,-1.128098487854004,11,0.19975823163986206,2,D0,6,0,32
correct,41,5,2,-0.066070556640625,2,-1.194169044494629,11,0.16267791390419006,3,D0,6,0,32
shuffled,41,5,2,,2,0.09848499298095703,11,0.5105422735214233,1,D0,6,1,32
wrong_chain,41,5,2,,2,-0.9199075698852539,11,0.2666345238685608,2,D0,6,0,32
irrelevant,41,5,2,,2,-4.7522430419921875,11,0.005976751446723938,3,D0,6,0,32
reversed,41,5,2,,2,0.09848499298095703,11,0.5105422735214233,1,D0,6,1,32
none,42,5,2,,2,-1.128098487854004,11,0.19975823163986206,2,D0,6,0,32
correct,42,5,2,3.7972307205200195,2,2.6691322326660156,11,0.9074589610099792,1,D0,6,1,32
shuffled,42,5,2,,2,-0.18057823181152344,11,0.4412649869918823,2,D0,6,0,32
