heads,layers,loss,model_seed,stage,step,width
1,1,1.1246397495269775,11,D4,51,32
1,1,0.46438443660736084,11,D4,101,32
1,1,0.47853055596351624,11,D4,151,32
1,1,0.3800066113471985,11,D4,201,32
1,1,0.47333282232284546,11,D4,251,32
1,1,0.4693857729434967,11,D4,301,32
1,1,0.32418328523635864,11,D4,351,32
1,1,0.3816119432449341,11,D4,400,32
2,1,21.260433197021484,11,D4,1,32
2,1,0.523327648639679,11,D4,51,32
2,1,0.004304457921534777,11,D4,101,32
2,1,0.0014398139901459217,11,D4,151,32
1,1,40.985931396484375,11,D4,1,64
1,1,1.1240806579589844,11,D4,51,64
1,1,1.2066452503204346,11,D4,101,64
1,1,1.2374545335769653,11,D4,151,64
1,1,1.082273006439209,11,D4,201,64
1,1,1.0009772777557373,11,D4,251,64
1,1,1.0605120658874512,11,D4,301,64
1,1,1.0280423164367676,11,D4,351,64
1,1,1.1361714601516724,11,D4,400,64
2,1,41.28877258300781,11,D4,1,64
2,1,1.1155961751937866,11,D4,51,64
2,1,1.1854175329208374,11,D4,101,64
2,1,1.216724157333374,11,D4,151,64
2,1,0.6722487807273865,11,D4,201,64
2,1,0.3029090166091919,11,D4,251,64
2,1,0.020983457565307617,11,D4,301,64
2,1,0.00041935674380511045,11,D4,351,64
1,2,7.188262939453125,11,D4,1,8
1,2,2.460536479949951,11,D4,51,8
1,2,0.7413545250892639,11,D4,101,8
1,2,0.6193166971206665,11,D4,151,8
1,2,0.4381108582019806,11,D4,201,8
1,2,0.22769322991371155,11,D4,251,8
1,2,0.21877504885196686,11,D4,301,8
1,2,0.2819269299507141,11,D4,351,8
1,2,0.11648710817098618,11,D4,400,8
2,2,7.297307014465332,11,D4,1,8
2,2,2.7335219383239746,11,D4,51,8
2,2,0.7437435984611511,11,D4,101,8
2,2,0.08643614500761032,11,D4,151,8
2,2,0.04336699843406677,11,D4,201,8
2,2,0.024769095703959465,11,D4,251,8
2,2,0.019875342026352882,11,D4,301,8
2,2,0.014323344454169273,11,D4,351,8
2,2,0.01087082177400589,11,D4,400,8
1,2,12.555829048156738,11,D4,1,16
1,2,0.3262442350387573,11,D4,51,16
1,2,0.020972441881895065,11,D4,101,16
1,2,0.007749381475150585,11,D4,151,16
1,2,0.003845960833132267,11,D4,201,16
1,2,0.0031740451231598854,11,D4,251,16
