accuracy,boundary,gate_passed,margin_signal,margin_snr,margin_variance,model_seed,predictive_order,stage
1.0,10,True,14.549356059024209,7.12050888575615,4.175086503464349,23,2,s3
1.0,11,True,12.754975034479509,7.539712098340143,2.8618686596421257,23,2,s3
1.0,12,True,12.07482101485046,7.844986475405598,2.3690651471450956,23,2,s3
0.0,0,True,-39.11779255586512,-3.975457059438598,96.82211045807155,23,3,s3
0.0,1,True,-25.270341934877283,-3.656150501029516,47.77207522416363,23,3,s3
0.0,2,True,-21.90227165222168,-4.521269458896871,23.466998217509296,23,3,s3
0.49411764705882355,3,True,-1.4400235176086427,-0.161724174862411,79.28468070589487,23,3,s3
0.5411764705882353,4,True,-0.31180681340834676,-0.037175052167758814,70.35063607114819,23,3,s3
1.0,5,True,13.16411989997415,2.087906832974587,39.75222365600987,23,3,s3
1.0,6,True,14.216806456621956,2.3734589189343884,35.87902756985216,23,3,s3
1.0,7,True,15.245652849533979,2.8006770154505167,29.632343423956424,23,3,s3
1.0,8,True,15.33297478170956,3.211241336856391,22.798535550880672,23,3,s3
1.0,9,True,14.956045509787167,3.843651281096023,15.140687565738506,23,3,s3
1.0,10,True,13.89560655706069,4.10961844071458,11.43278442221015,23,3,s3
1.0,11,True,12.880889567206887,4.226421399543035,9.288511433171132,23,3,s3
1.0,12,True,12.273650382546817,4.380226374962255,7.8515316184425314,23,3,s3
