between_centroid_variance,boundary,effective_rank,hierarchy_rsa,interpretation_status,model_seed,nearest_class_recovery,predictive_order,residual_covariance_trace,stage,within_between_ratio,within_dispersion
778.4334998869145,8,7.786853611680756,0.9253195685659621,eligible,23,1.0,2,1004.9305782286655,s1,3.1962035676591256,243.54941209989045
529.039339339894,8,6.829322576032092,0.9630206451761868,eligible,23,1.0,3,714.6203721229685,s1,1.916878526910273,275.9900180912658
1082.0666933677173,9,9.867928306006386,0.9302071125090101,eligible,23,1.0,1,1216.4833386429568,s1,7.431076346049453,145.61372308718916
788.84818056214,9,7.801272961907688,0.924323266468715,eligible,23,1.0,2,1014.4960172019258,s1,3.214573666703076,245.39744996388617
552.393260749626,9,6.837583036935225,0.9618498616278893,eligible,23,1.0,3,740.1792745314569,s1,1.9332527628136404,285.7325598367928
1102.7332950013072,10,9.821975000392381,0.9277644601160255,eligible,23,1.0,1,1238.3845230301604,s1,7.481373701388661,147.39716781181625
828.6181264639182,10,7.619806169927959,0.9233984877393093,eligible,23,1.0,2,1060.655226721657,s1,3.303953609010613,250.7959325370228
576.2028472099566,10,6.706110552433373,0.9619331886863778,eligible,23,1.0,3,764.8439106822793,s1,1.984652007386779,290.32941041830554
1173.890123481142,11,9.667360783714708,0.9300766144644163,eligible,23,1.0,1,1312.5353463107713,s1,7.6964108651570236,152.52435764813185
868.395908048398,11,7.581854118204429,0.9253740472506823,eligible,23,1.0,2,1102.8937503055893,s1,3.3903684366136067,256.1361469262238
598.5778054195225,11,6.785762794060814,0.9600065012510179,eligible,23,1.0,3,786.3750342057801,s1,1.9989720169864482,299.44281376280554
1200.5808470146526,12,9.666117037526254,0.9293167689525655,eligible,23,1.0,1,1339.5541523017087,s1,7.761077670081075,154.69254373851666
891.9781733441432,12,7.491197978991395,0.9252788542722264,eligible,23,1.0,2,1130.7395011171413,s1,3.4239216492805955,260.5136053558114
615.7689418883301,12,6.701173672163652,0.9593588959778554,eligible,23,1.0,3,808.4736885778507,s1,2.0132109497000426,305.86409335789887
1.8626597797149627,0,20.797383048138585,-0.021302486204235076,blocked_by_competence,11,0.875,4,60.304217919784485,s2,0.031936542732809874,58.323776464444954
7.079965371327433,1,17.414324150282667,0.3769220790598672,blocked_by_competence,11,0.923828125,4,74.45912558438968,s2,0.10530376843718785,67.23373223340522
30.72761394634213,2,3.529925797023781,0.38701258825360996,blocked_by_competence,11,0.791015625,4,133.15427660602694,s2,0.300759888580372,102.16659571318867
133.12046331975773,3,2.760374145300585,0.6797495770355664,blocked_by_competence,11,0.92578125,4,351.4984487014082,s2,0.6115097958917368,217.6914649740306
197.3357744642206,4,2.3074745864773494,0.6777602748388277,blocked_by_competence,11,0.921875,4,448.47444175849523,s2,0.7885143986820872,250.26274065021505
330.32886402863767,5,1.9638053459025069,0.7948861164783295,blocked_by_competence,11,0.953125,4,592.782808455022,s2,1.2641933086898618,261.2961655036205
417.1994451105933,6,1.7865906038932275,0.786092629264114,blocked_by_competence,11,0.953125,4,702.4537467181958,s2,1.4696210834658774,283.8823216335436
