condition,depth,example_id,final_correct,generated_steps,seed,termination_correct,trajectory_exact,transition_accuracy
O0,3,47,1,1,23,1,1,1
O0,3,48,1,1,23,1,1,1
O0,3,49,1,1,23,1,1,1
O0,3,50,1,1,23,1,1,1
O0,3,51,1,1,23,1,1,1
O0,3,52,1,1,23,1,1,1
O0,3,53,1,1,23,1,1,1
O0,3,54,1,1,23,1,1,1
O0,3,55,1,1,23,1,1,1
O0,3,56,1,1,23,1,1,1
O0,3,57,1,1,23,1,1,1
O0,3,58,1,1,23,1,1,1
O0,3,59,1,1,23,1,1,1
O0,3,60,1,1,23,1,1,1
O0,3,61,1,1,23,1,1,1
O0,3,62,1,1,23,1,1,1
O0,3,63,1,1,23,1,1,1
O0,4,0,0,1,23,1,0,0
O0,4,1,0,1,23,1,0,0
O0,4,2,0,1,23,1,0,0
O0,4,3,0,1,23,1,0,0
O0,4,4,0,1,23,1,0,0
O0,4,5,0,1,23,1,0,0
O0,4,6,0,1,23,1,0,0
O0,4,7,0,1,23,1,0,0
O0,4,8,0,1,23,1,0,0
O0,4,9,0,1,23,1,0,0
O0,4,10,0,1,23,1,0,0
O0,4,11,0,1,23,1,0,0
O0,4,12,0,1,23,1,0,0
O0,4,13,0,1,23,1,0,0
O0,4,14,0,1,23,1,0,0
O0,4,15,0,1,23,1,0,0
O0,4,16,0,1,23,1,0,0
O0,4,17,0,1,23,1,0,0
O0,4,18,0,1,23,1,0,0
O0,4,19,1,1,23,1,1,1
O0,4,20,0,1,23,1,0,0
O0,4,21,0,1,23,1,0,0
O0,4,22,0,1,23,1,0,0
O0,4,23,0,1,23,1,0,0
O0,4,24,0,1,23,1,0,0
O0,4,25,0,1,23,1,0,0
O0,4,26,0,1,23,1,0,0
O0,4,27,0,1,23,1,0,0
O0,4,28,0,1,23,1,0,0
O0,4,29,0,1,23,1,0,0
O0,4,30,0,1,23,1,0,0
O0,4,31,0,1,23,1,0,0
O0,4,32,0,1,23,1,0,0
O0,4,33,0,1,23,1,0,0
O0,4,34,0,1,23,1,0,0
O0,4,35,0,1,23,1,0,0
O0,4,36,0,1,23,1,0,0
O0,4,37,0,1,23,1,0,0
O0,4,38,0,1,23,1,0,0
