cumulative_fluctuation_variance,cumulative_signal,layer_i,layer_j,model_seed,nuisance_count,predictive_family_id,update_covariance
0.0,43.266119956970215,5,5,11,0,skip_gram:r0,0.0
0.0,43.266119956970215,5,6,11,0,skip_gram:r0,0.0
0.0,43.266119956970215,5,7,11,0,skip_gram:r0,0.0
0.0,43.266119956970215,6,0,11,0,skip_gram:r0,0.0
0.0,43.266119956970215,6,1,11,0,skip_gram:r0,0.0
0.0,43.266119956970215,6,2,11,0,skip_gram:r0,0.0
0.0,43.266119956970215,6,3,11,0,skip_gram:r0,0.0
0.0,43.266119956970215,6,4,11,0,skip_gram:r0,0.0
0.0,43.266119956970215,6,5,11,0,skip_gram:r0,0.0
0.0,43.266119956970215,6,6,11,0,skip_gram:r0,0.0
0.0,43.266119956970215,6,7,11,0,skip_gram:r0,0.0
0.0,43.266119956970215,7,0,11,0,skip_gram:r0,0.0
0.0,43.266119956970215,7,1,11,0,skip_gram:r0,0.0
0.0,43.266119956970215,7,2,11,0,skip_gram:r0,0.0
0.0,43.266119956970215,7,3,11,0,skip_gram:r0,0.0
0.0,43.266119956970215,7,4,11,0,skip_gram:r0,0.0
0.0,43.266119956970215,7,5,11,0,skip_gram:r0,0.0
0.0,43.266119956970215,7,6,11,0,skip_gram:r0,0.0
0.0,43.266119956970215,7,7,11,0,skip_gram:r0,0.0
0.0,36.50649642944336,0,0,11,0,skip_gram:r1,0.0
0.0,36.50649642944336,0,1,11,0,skip_gram:r1,0.0
0.0,36.50649642944336,0,2,11,0,skip_gram:r1,0.0
0.0,36.50649642944336,0,3,11,0,skip_gram:r1,0.0
0.0,36.50649642944336,0,4,11,0,skip_gram:r1,0.0
0.0,36.50649642944336,0,5,11,0,skip_gram:r1,0.0
0.0,36.50649642944336,0,6,11,0,skip_gram:r1,0.0
0.0,36.50649642944336,0,7,11,0,skip_gram:r1,0.0
0.0,36.50649642944336,1,0,11,0,skip_gram:r1,0.0
0.0,36.50649642944336,1,1,11,0,skip_gram:r1,0.0
0.0,36.50649642944336,1,2,11,0,skip_gram:r1,0.0
0.0,36.50649642944336,1,3,11,0,skip_gram:r1,0.0
0.0,36.50649642944336,1,4,11,0,skip_gram:r1,0.0
0.0,36.50649642944336,1,5,11,0,skip_gram:r1,0.0
0.0,36.50649642944336,1,6,11,0,skip_gram:r1,0.0
0.0,36.50649642944336,1,7,11,0,skip_gram:r1,0.0
0.0,36.50649642944336,2,0,11,0,skip_gram:r1,0.0
