final_correct,first_top1_layer,generator_family,model_seed,nuisance_count,predictive_family_id,settling_delay,stable_top1_layer,surface_identity_id,top1_reversal_count
1,2,binary_functor,23,0,binary_functor:r0,4,6,test:10,5
1,2,binary_functor,23,4,binary_functor:r0,4,6,test:10,5
1,4,binary_functor,23,8,binary_functor:r0,2,6,test:10,3
1,2,binary_functor,23,0,binary_functor:r0,4,6,test:11,5
1,2,binary_functor,23,4,binary_functor:r0,2,4,test:11,3
1,4,binary_functor,23,8,binary_functor:r0,2,6,test:11,3
1,2,binary_functor,23,0,binary_functor:r0,4,6,test:2,5
1,2,binary_functor,23,4,binary_functor:r0,2,4,test:2,3
1,4,binary_functor,23,8,binary_functor:r0,3,7,test:2,3
1,2,binary_functor,23,0,binary_functor:r0,4,6,test:3,5
1,2,binary_functor,23,4,binary_functor:r0,4,6,test:3,5
1,2,binary_functor,23,8,binary_functor:r0,4,6,test:3,5
1,2,binary_functor,23,0,binary_functor:r0,4,6,test:4,5
1,2,binary_functor,23,4,binary_functor:r0,2,4,test:4,3
1,4,binary_functor,23,8,binary_functor:r0,2,6,test:4,3
1,2,binary_functor,23,0,binary_functor:r0,4,6,test:5,5
1,2,binary_functor,23,4,binary_functor:r0,4,6,test:5,5
1,4,binary_functor,23,8,binary_functor:r0,3,7,test:5,3
1,2,binary_functor,23,0,binary_functor:r0,4,6,test:6,5
1,2,binary_functor,23,4,binary_functor:r0,2,4,test:6,3
1,4,binary_functor,23,8,binary_functor:r0,2,6,test:6,3
1,2,binary_functor,23,0,binary_functor:r0,4,6,test:7,5
1,4,binary_functor,23,4,binary_functor:r0,2,6,test:7,3
1,4,binary_functor,23,8,binary_functor:r0,3,7,test:7,3
1,2,binary_functor,23,0,binary_functor:r0,4,6,test:8,5
1,2,binary_functor,23,4,binary_functor:r0,4,6,test:8,5
1,4,binary_functor,23,8,binary_functor:r0,3,7,test:8,3
1,2,binary_functor,23,0,binary_functor:r0,4,6,test:9,5
1,2,binary_functor,23,4,binary_functor:r0,2,4,test:9,3
1,4,binary_functor,23,8,binary_functor:r0,2,6,test:9,3
1,2,binary_functor,23,0,binary_functor:r1,0,2,test:0,1
1,2,binary_functor,23,4,binary_functor:r1,0,2,test:0,1
1,2,binary_functor,23,8,binary_functor:r1,0,2,test:0,1
1,2,binary_functor,23,0,binary_functor:r1,0,2,test:1,1
1,2,binary_functor,23,4,binary_functor:r1,0,2,test:1,1
1,2,binary_functor,23,8,binary_functor:r1,0,2,test:1,1
1,2,binary_functor,23,0,binary_functor:r1,0,2,test:10,1
1,2,binary_functor,23,4,binary_functor:r1,0,2,test:10,1
1,2,binary_functor,23,8,binary_functor:r1,0,2,test:10,1
1,2,binary_functor,23,0,binary_functor:r1,0,2,test:11,1
1,2,binary_functor,23,4,binary_functor:r1,0,2,test:11,1
1,2,binary_functor,23,8,binary_functor:r1,0,2,test:11,1
1,2,binary_functor,23,0,binary_functor:r1,0,2,test:2,1
1,2,binary_functor,23,4,binary_functor:r1,0,2,test:2,1
1,3,binary_functor,23,8,binary_functor:r1,0,3,test:2,1
1,2,binary_functor,23,0,binary_functor:r1,0,2,test:3,1
1,2,binary_functor,23,4,binary_functor:r1,0,2,test:3,1
1,3,binary_functor,23,8,binary_functor:r1,0,3,test:3,1
1,2,binary_functor,23,0,binary_functor:r1,0,2,test:4,1
1,2,binary_functor,23,4,binary_functor:r1,0,2,test:4,1
1,2,binary_functor,23,8,binary_functor:r1,0,2,test:4,1
1,2,binary_functor,23,0,binary_functor:r1,0,2,test:5,1
1,2,binary_functor,23,4,binary_functor:r1,0,2,test:5,1
1,3,binary_functor,23,8,binary_functor:r1,0,3,test:5,1
1,2,binary_functor,23,0,binary_functor:r1,0,2,test:6,1
1,2,binary_functor,23,4,binary_functor:r1,0,2,test:6,1
1,2,binary_functor,23,8,binary_functor:r1,0,2,test:6,1
1,2,binary_functor,23,0,binary_functor:r1,0,2,test:7,1
1,2,binary_functor,23,4,binary_functor:r1,0,2,test:7,1
