R,between_family_JS,boundary,chi_representation,class_centroid_separation,correct_target_signal,depth_index,fluctuation_variance,fraction_stably_top1,fraction_top1,generator_family,margin_snr,mean_output_entropy,mean_target_logprob,mean_target_margin,mean_target_probability,mean_target_rank,model_seed,n_realizations,nuisance_count,predictive_family_id,q_representation,representation_covariance_trace,robust_margin_snr,var_target_margin,var_target_probability,within_family_JS
64047.033074386316,0.7500022711210769,layer0_post_sa,0.05375139013066238,67.87210484899015,-23.077212969462078,1,0.8286334310448155,0.0,0.0,binary_functor,-25.351410637974176,0.001201908351504244,-23.07729164759318,-23.077212969462078,1.382917744439475e-10,30.083333333333332,11,12,4,binary_functor:r0,3.648219986727291,2.840971896937056,-23.51132828302723,0.8286334310448155,1.5624389542322272e-20,1.1710179771325235e-05
32.61919020727101,0.7549328864573243,layer0_post_block,0.05132092573477626,71.0371645493526,-2.580777327219645,2,1.2480981688848976,0.0,0.0,binary_functor,-2.310075424407459,0.7363885069886843,-2.7806058575709662,-2.580777327219645,0.10038439510390162,2.6666666666666665,11,12,4,binary_functor:r0,3.6456930462464054,3.0983650042786426,-3.5132528697404237,1.2480981688848976,0.014956644038583865,0.023143826736969245
91.70359099283976,0.6475558316473904,layer1_post_sa,0.051400096617966684,86.97594595761784,-3.351830244064331,3,0.936170565395204,0.0,0.0,binary_functor,-3.4642124802305956,0.3840028929213683,-3.4184144536654153,-3.351830244064331,0.047438200718412794,2.0833333333333335,11,12,4,binary_functor:r0,4.470572025660606,3.406287441383604,-3.2877296996330587,0.936170565395204,0.0018567145955644367,0.0070614010273376505
23.74755231432201,0.6029126313417732,layer1_post_block,0.05071928959761652,101.65441863779671,-3.2857438723246255,4,2.076857465430266,0.0,0.0,binary_functor,-2.2799764418335706,0.3982203888396422,-3.390599509080251,-3.2857438723246255,0.08002521369295816,2.0833333333333335,11,12,4,binary_functor:r0,5.155839897767757,4.062520571800038,-3.4143975409618093,2.076857465430266,0.015431707291769452,0.025388411544972577
8.815126708451313,0.5593734442517426,layer2_post_sa,0.05283589756947602,113.92927000981061,-2.0044496854146323,5,2.7191704195015656,0.16666666666666666,0.16666666666666666,binary_functor,-1.21556152394096,0.5575938311715921,-2.3201704708238444,-2.0044496854146323,0.1960442418543001,1.8333333333333333,11,12,4,binary_functor:r0,6.0195552404035295,4.53790863863306,-1.7968856766448464,2.7191704195015656,0.06808119574728456,0.06345608665108074
7.012777661076753,0.6045314999918516,layer2_post_block,0.05557355403554338,128.66717773449304,0.8928510348002116,6,5.751467125364934,0.5833333333333334,0.5833333333333334,binary_functor,0.3722971272063596,0.7115617344776789,-0.7219813987030648,0.8928510348002116,0.5818225865562757,1.4166666666666667,11,12,4,binary_functor:r0,7.150492354428713,5.540997169637762,0.1460367600428061,5.751467125364934,0.09304053524452813,0.08620428726083851
146145.5536817312,0.7493124595882803,layer3_post_sa,0.057626604470384916,132.67512097566635,11.221616824467977,7,1.8376915878254885,1.0,1.0,binary_functor,8.277879883710563,0.0005085215395107904,-2.977332721343373e-05,11.221616824467977,0.9999702274799347,1.0,11,12,4,binary_functor:r0,7.645616719525194,6.906391534112792,9.648819143645268,1.8376915878254885,7.935447854379163e-10,5.127165628453516e-06
79243.54280216835,0.749115064223406,layer3_post_block,0.0863057618102116,176.56679839499586,8.601964712142944,8,0.1609004276344463,1.0,1.0,binary_functor,21.444654022778067,0.002960750057051579,-0.0002118952434102539,8.601964712142944,0.9997881303230921,1.0,11,12,4,binary_functor:r0,15.238732045870165,17.06374173220361,18.769393777576866,0.1609004276344463,6.801888964527295e-09,9.453326261466795e-06
74999996.42316692,0.7499999642316691,pre_sa,0.0,55.03524797047682,-32.31705093383789,0,0.0,0.0,0.0,binary_functor,-323170.5093383789,2.1125440525793238e-06,-32.31705093383789,-32.31705093383789,9.223230801335986e-15,59.0,11,12,8,binary_functor:r0,0.0,0.0,-3231705093.383789,0.0,0.0,0.0
19895.356831462825,0.7500048362814655,layer0_post_sa,0.05287968096348421,67.07621252908189,-21.76630099614461,1,3.105647085231519,0.0,0.0,binary_functor,-12.35118362968332,0.002339818347536493,-21.766472180684406,-21.76630099614461,2.12420163461328e-09,27.583333333333332,11,12,8,binary_functor:r0,3.5469687187767125,2.7785824755961,-13.712754405341986,3.105647085231519,3.203056420902896e-17,3.769748100699538e-05
