accuracy,axis,cell_id,competent,examples,generator_family,head_count,mean_margin,mean_rank,mean_stable_layer_when_correct,model_depth,model_seed,model_width,nuisance_count,predictive_order,raw_length,requested_dependency_span,training_budget
0.4375,predictive_order,3c1c7bde239d,0,32,necessary_pattern,4,0.08698934316635132,1.5625,2.0,8,37,32,0,1,12,4,2
0.28125,predictive_order,96300ccbcaee,0,32,necessary_pattern,4,-0.2250286042690277,2.3125,6.555555555555555,8,37,32,0,6,12,6,2
0.25,predictive_order,a5891a5b16d7,0,32,necessary_pattern,4,-0.38018378615379333,2.34375,5.75,8,37,32,0,12,12,12,2
0.4375,predictive_order,ecae3be4326f,0,32,necessary_pattern,4,-0.1125708818435669,2,6.214285714285714,8,37,32,0,4,12,4,2
0.75,predictive_order,f306bd7c1d91,0,32,necessary_pattern,4,0.5437948703765869,1.25,2.5,8,37,32,0,2,12,4,2
0.71875,raw_length,07cdc0054772,0,32,necessary_pattern,4,0.7447786927223206,1.28125,1.565217391304348,8,37,32,0,2,2,4,2
0.71875,raw_length,5b3975d8947d,0,32,necessary_pattern,4,0.7447786927223206,1.28125,1.565217391304348,8,37,32,0,2,3,4,2
0.71875,raw_length,5bed8b907b14,0,32,necessary_pattern,4,0.5076248943805695,1.28125,2.739130434782609,8,37,32,0,2,16,4,2
0.71875,raw_length,6ee96a3ceda6,0,32,necessary_pattern,4,0.3756295442581177,1.28125,1.9130434782608696,8,37,32,0,2,8,4,2
0.71875,raw_length,9cb22f271bee,0,32,necessary_pattern,4,0.3198220133781433,1.28125,3.4347826086956523,8,37,32,0,2,24,4,2
0.75,raw_length,dcb8f7366193,0,32,necessary_pattern,4,0.5437948703765869,1.25,2.5,8,37,32,0,2,12,4,2
0.625,raw_length,def8612efd03,0,32,necessary_pattern,4,0.23893311619758606,1.375,2.75,8,37,32,0,2,6,4,2
0.71875,raw_length,e9e9842f144b,0,32,necessary_pattern,4,0.7447786927223206,1.28125,1.565217391304348,8,37,32,0,2,4,4,2
